INSERT INTO Return (return_id, return_car_date, additional_cost) VALUES
('RT00085', '2024-02-06', 150000),
('RT00086', '2025-08-08', 100000),
('RT00087', '2024-08-09', 0),
('RT00088', '2025-01-28', 100000),
('RT00089', '2024-07-14', 0),
('RT00090', '2024-05-14', 200000),
('RT00091', '2024-10-27', 50000),
('RT00092', '2025-03-26', 100000),
('RT00093', '2025-02-14', 0),
('RT00094', '2024-02-08', 0),
('RT00095', '2025-08-29', 50000),
('RT00096', '2025-08-19', 50000),
('RT00097', '2024-02-20', 100000),
('RT00098', '2025-05-13', 0),
('RT00099', '2025-02-03', 0),
('RT00100', '2025-02-09', 0),
('RT00101', '2024-08-07', 0),
('RT00102', '2024-05-03', 0),
('RT00103', '2024-09-20', 0),
('RT00104', '2024-11-23', 0),
('RT00105', '2025-05-09', 0),
('RT00106', '2024-10-12', 200000),
('RT00107', '2025-01-10', 0),
('RT00108', '2025-08-03', 100000),
('RT00109', '2025-06-23', 200000),
('RT00110', '2024-06-30', 200000),
('RT00111', '2025-10-23', 0),
('RT00112', '2024-03-28', 200000),
('RT00113', '2024-12-16', 0),
('RT00114', '2024-08-08', 50000),
('RT00115', '2025-11-24', 150000),
('RT00116', '2024-02-23', 0),
('RT00117', '2024-05-02', 0),
('RT00118', '2025-12-16', 0),
('RT00119', '2024-03-19', 0),
('RT00120', '2024-04-18', 0),
('RT00121', '2024-01-22', 0),
('RT00122', '2024-02-20', 0),
('RT00123', '2025-03-01', 100000),
('RT00124', '2025-12-09', 0),
('RT00125', '2025-09-18', 0),
('RT00126', '2025-04-16', 0),
('RT00127', '2025-05-27', 0),
('RT00128', '2025-03-02', 0),
('RT00129', '2025-09-15', 0),
('RT00130', '2026-01-11', 200000),
('RT00131', '2025-04-30', 0),
('RT00132', '2025-03-13', 100000),
('RT00133', '2025-12-21', 0),
('RT00134', '2025-05-22', 0),
('RT00135', '2025-03-08', 0),
('RT00136', '2025-09-26', 0),
('RT00137', '2025-10-16', 0),
('RT00138', '2024-01-08', 0),
('RT00139', '2025-10-24', 0),
('RT00140', '2025-05-01', 150000),
('RT00141', '2025-03-26', 0),
('RT00142', '2024-12-19', 0),
('RT00143', '2024-02-22', 0),
('RT00144', '2024-05-08', 100000),
('RT00145', '2024-12-08', 150000),
('RT00146', '2025-04-19', 0),
('RT00147', '2025-04-17', 0),
('RT00148', '2025-09-11', 0),
('RT00149', '2024-08-22', 50000),
('RT00150', '2024-05-19', 0),
('RT00151', '2025-07-24', 0),
('RT00152', '2024-03-19', 50000),
('RT00153', '2025-10-03', 0),
('RT00154', '2024-06-25', 0),
('RT00155', '2024-03-30', 50000),
('RT00156', '2024-09-20', 0),
('RT00157', '2025-08-18', 0),
('RT00158', '2025-08-02', 50000),
('RT00159', '2025-05-15', 200000),
('RT00160', '2024-12-16', 0),
('RT00161', '2024-02-21', 100000),
('RT00162', '2025-09-15', 200000),
('RT00163', '2025-02-14', 0),
('RT00164', '2025-03-29', 100000),
('RT00165', '2024-12-27', 200000),
('RT00166', '2025-11-07', 0),
('RT00167', '2025-04-05', 50000),
('RT00168', '2025-08-11', 0),
('RT00169', '2025-01-10', 100000),
('RT00170', '2025-06-26', 50000),
('RT00171', '2025-04-26', 200000),
('RT00172', '2025-08-25', 0),
('RT00173', '2025-03-02', 150000),
('RT00174', '2025-08-23', 0),
('RT00175', '2024-09-21', 0),
('RT00176', '2025-07-13', 200000),
('RT00177', '2025-04-15', 200000),
('RT00178', '2024-06-26', 0),
('RT00179', '2024-06-11', 0),
('RT00180', '2024-01-26', 0),
('RT00181', '2024-11-27', 50000),
('RT00182', '2024-10-23', 0),
('RT00183', '2025-11-26', 0),
('RT00184', '2024-08-09', 0),
('RT00185', '2026-01-02', 100000),
('RT00186', '2024-08-05', 50000),
('RT00187', '2025-04-04', 200000),
('RT00188', '2025-10-12', 0),
('RT00189', '2025-03-22', 200000),
('RT00190', '2025-12-19', 50000),
('RT00191', '2024-09-29', 0),
('RT00192', '2025-03-02', 200000),
('RT00193', '2025-01-16', 0),
('RT00194', '2025-07-14', 0),
('RT00195', '2024-10-31', 150000),
('RT00196', '2024-08-13', 50000),
('RT00197', '2025-04-09', 0),
('RT00198', '2024-01-17', 200000),
('RT00199', '2025-09-24', 0),
('RT00200', '2024-11-08', 150000),
('RT00201', '2025-06-07', 50000),
('RT00202', '2024-09-30', 0),
('RT00203', '2025-04-21', 0),
('RT00204', '2024-10-28', 0),
('RT00205', '2025-06-01', 50000),
('RT00206', '2024-03-05', 0),
('RT00207', '2025-08-20', 0),
('RT00208', '2024-01-09', 100000),
('RT00209', '2025-01-13', 50000),
('RT00210', '2024-11-18', 150000),
('RT00211', '2025-03-19', 0),
('RT00212', '2024-03-26', 150000),
('RT00213', '2025-05-18', 0),
('RT00214', '2024-05-18', 0),
('RT00215', '2025-02-06', 100000),
('RT00216', '2024-05-05', 150000),
('RT00217', '2025-10-28', 100000),
('RT00218', '2025-08-10', 0),
('RT00219', '2024-07-02', 100000),
('RT00220', '2024-10-22', 0),
('RT00221', '2024-09-23', 200000),
('RT00222', '2024-07-03', 0),
('RT00223', '2025-09-11', 150000),
('RT00224', '2025-10-14', 0),
('RT00225', '2024-08-18', 0),
('RT00226', '2024-07-22', 0),
('RT00227', '2024-07-30', 200000),
('RT00228', '2024-11-16', 0),
('RT00229', '2025-06-27', 150000),
('RT00230', '2025-08-18', 150000),
('RT00231', '2024-07-30', 0),
('RT00232', '2025-10-05', 0),
('RT00233', '2025-01-26', 0),
('RT00234', '2025-09-27', 0),
('RT00235', '2025-03-31', 0),
('RT00236', '2024-04-06', 0),
('RT00237', '2024-06-14', 50000),
('RT00238', '2025-10-12', 0),
('RT00239', '2024-05-15', 0),
('RT00240', '2025-12-17', 50000),
('RT00241', '2024-02-12', 0),
('RT00242', '2024-05-26', 0),
('RT00243', '2025-05-16', 150000),
('RT00244', '2025-12-12', 150000),
('RT00245', '2025-12-19', 100000),
('RT00246', '2025-04-11', 0),
('RT00247', '2024-09-05', 0),
('RT00248', '2025-05-23', 100000),
('RT00249', '2024-05-20', 100000),
('RT00250', '2025-06-22', 0),
('RT00251', '2024-07-28', 0),
('RT00252', '2024-08-02', 0),
('RT00253', '2024-08-21', 0),
('RT00254', '2024-01-31', 200000),
('RT00255', '2024-03-29', 0),
('RT00256', '2024-08-06', 0),
('RT00257', '2025-08-24', 0),
('RT00258', '2024-09-16', 0),
('RT00259', '2025-06-05', 150000),
('RT00260', '2025-10-22', 0),
('RT00261', '2025-08-25', 0),
('RT00262', '2024-10-11', 0),
('RT00263', '2024-04-16', 0),
('RT00264', '2025-10-19', 50000),
('RT00265', '2024-01-14', 100000),
('RT00266', '2024-04-21', 0),
('RT00267', '2025-09-20', 0),
('RT00268', '2025-05-05', 0),
('RT00269', '2025-06-11', 100000),
('RT00270', '2025-03-17', 0),
('RT00271', '2026-01-01', 0),
('RT00272', '2025-07-25', 0),
('RT00273', '2025-08-29', 0),
('RT00274', '2025-10-12', 100000),
('RT00275', '2025-10-25', 0),
('RT00276', '2025-04-07', 0),
('RT00277', '2024-12-08', 0),
('RT00278', '2024-04-06', 0),
('RT00279', '2024-11-18', 50000),
('RT00280', '2024-02-03', 0),
('RT00281', '2025-04-15', 0),
('RT00282', '2024-10-12', 0),
('RT00283', '2024-12-01', 200000),
('RT00284', '2025-07-04', 0),
('RT00285', '2025-07-08', 0),
('RT00286', '2025-12-31', 0),
('RT00287', '2025-12-03', 50000),
('RT00288', '2024-02-08', 150000),
('RT00289', '2025-02-18', 0),
('RT00290', '2025-01-13', 0),
('RT00291', '2025-07-09', 0),
('RT00292', '2024-04-10', 150000),
('RT00293', '2025-08-04', 50000),
('RT00294', '2025-07-14', 0),
('RT00295', '2024-06-25', 0),
('RT00296', '2025-07-22', 0),
('RT00297', '2025-09-10', 0),
('RT00298', '2025-11-28', 0),
('RT00299', '2024-11-13', 0),
('RT00300', '2025-08-08', 0),
('RT00301', '2025-09-28', 0),
('RT00302', '2024-05-25', 100000),
('RT00303', '2025-05-28', 150000),
('RT00304', '2024-12-16', 150000),
('RT00305', '2024-01-27', 0),
('RT00306', '2024-08-29', 0),
('RT00307', '2025-09-20', 0),
('RT00308', '2025-06-06', 100000),
('RT00309', '2024-09-20', 100000),
('RT00310', '2024-12-16', 0),
('RT00311', '2024-01-18', 0),
('RT00312', '2025-12-03', 150000),
('RT00313', '2025-03-27', 100000),
('RT00314', '2024-01-28', 0),
('RT00315', '2024-12-31', 0),
('RT00316', '2024-10-27', 50000),
('RT00317', '2025-04-21', 150000),
('RT00318', '2025-06-29', 0),
('RT00319', '2024-05-17', 0),
('RT00320', '2025-07-06', 100000),
('RT00321', '2024-03-30', 0),
('RT00322', '2025-11-07', 0),
('RT00323', '2025-11-07', 100000),
('RT00324', '2024-04-06', 0),
('RT00325', '2024-05-13', 0),
('RT00326', '2025-07-20', 200000),
('RT00327', '2024-02-17', 0),
('RT00328', '2024-12-29', 0),
('RT00329', '2025-11-09', 0),
('RT00330', '2025-06-23', 100000),
('RT00331', '2025-08-01', 0),
('RT00332', '2025-10-28', 0),
('RT00333', '2025-06-15', 0),
('RT00334', '2025-03-20', 0),
('RT00335', '2024-12-02', 100000),
('RT00336', '2025-12-11', 0),
('RT00337', '2025-07-03', 0),
('RT00338', '2024-09-30', 0),
('RT00339', '2025-06-25', 0),
('RT00340', '2025-10-30', 50000),
('RT00341', '2024-07-03', 100000),
('RT00342', '2025-03-13', 50000),
('RT00343', '2024-11-27', 0),
('RT00344', '2024-12-17', 0),
('RT00345', '2025-08-19', 0),
('RT00346', '2024-02-04', 200000),
('RT00347', '2024-06-15', 0),
('RT00348', '2024-09-28', 100000),
('RT00349', '2025-08-17', 0),
('RT00350', '2025-09-07', 0),
('RT00351', '2025-07-23', 0),
('RT00352', '2024-11-08', 50000),
('RT00353', '2025-08-07', 0),
('RT00354', '2025-01-22', 0),
('RT00355', '2025-04-07', 50000),
('RT00356', '2025-05-15', 100000),
('RT00357', '2024-11-06', 0),
('RT00358', '2024-02-19', 0),
('RT00359', '2025-11-25', 50000),
('RT00360', '2025-11-27', 100000),
('RT00361', '2025-10-18', 150000),
('RT00362', '2024-10-22', 100000),
('RT00363', '2025-08-13', 100000),
('RT00364', '2024-04-15', 0),
('RT00365', '2024-11-19', 0),
('RT00366', '2024-07-24', 200000),
('RT00367', '2025-03-30', 0),
('RT00368', '2025-07-13', 0),
('RT00369', '2025-02-01', 0),
('RT00370', '2024-06-25', 0),
('RT00371', '2024-06-15', 0),
('RT00372', '2025-02-16', 100000),
('RT00373', '2025-08-26', 0),
('RT00374', '2024-02-20', 200000),
('RT00375', '2024-01-20', 0),
('RT00376', '2024-07-29', 0),
('RT00377', '2024-12-13', 100000),
('RT00378', '2024-02-18', 200000),
('RT00379', '2024-03-03', 50000),
('RT00380', '2024-10-25', 0),
('RT00381', '2024-11-22', 0),
('RT00382', '2025-12-10', 0),
('RT00383', '2025-11-25', 0),
('RT00384', '2025-01-03', 0),
('RT00385', '2024-05-23', 0),
('RT00386', '2025-03-02', 50000),
('RT00387', '2025-05-18', 0),
('RT00388', '2025-06-02', 0),
('RT00389', '2024-02-11', 0),
('RT00390', '2024-08-22', 50000),
('RT00391', '2025-01-13', 150000),
('RT00392', '2025-07-07', 0),
('RT00393', '2024-03-08', 0),
('RT00394', '2025-06-03', 0),
('RT00395', '2024-01-21', 0),
('RT00396', '2024-12-22', 0),
('RT00397', '2025-11-08', 0),
('RT00398', '2025-07-31', 50000),
('RT00399', '2025-04-18', 0),
('RT00400', '2024-10-06', 0),
('RT00401', '2024-08-30', 50000),
('RT00402', '2024-02-24', 0),
('RT00403', '2025-09-17', 0),
('RT00404', '2025-04-15', 0),
('RT00405', '2024-11-24', 150000),
('RT00406', '2024-04-01', 0),
('RT00407', '2025-08-31', 0),
('RT00408', '2024-02-29', 100000),
('RT00409', '2025-12-04', 0),
('RT00410', '2024-05-31', 100000),
('RT00411', '2025-12-12', 0),
('RT00412', '2025-05-20', 0),
('RT00413', '2024-10-18', 100000),
('RT00414', '2025-04-15', 0),
('RT00415', '2025-02-11', 0),
('RT00416', '2024-09-27', 50000),
('RT00417', '2024-01-25', 50000),
('RT00418', '2025-06-19', 0),
('RT00419', '2025-02-06', 0),
('RT00420', '2024-09-18', 150000),
('RT00421', '2024-10-27', 0),
('RT00422', '2024-01-17', 0),
('RT00423', '2024-12-28', 0),
('RT00424', '2025-01-15', 0),
('RT00425', '2024-04-09', 100000),
('RT00426', '2025-02-15', 0),
('RT00427', '2024-11-23', 0),
('RT00428', '2025-03-15', 0),
('RT00429', '2024-06-16', 0),
('RT00430', '2025-11-29', 0),
('RT00431', '2025-05-24', 50000),
('RT00432', '2025-10-21', 0),
('RT00433', '2024-12-26', 0),
('RT00434', '2024-09-13', 0),
('RT00435', '2025-10-31', 150000),
('RT00436', '2025-12-13', 50000),
('RT00437', '2024-10-16', 150000),
('RT00438', '2025-08-03', 100000),
('RT00439', '2025-11-14', 0),
('RT00440', '2025-10-29', 0),
('RT00441', '2024-07-28', 50000),
('RT00442', '2025-03-06', 200000),
('RT00443', '2025-01-21', 50000),
('RT00444', '2024-06-21', 0),
('RT00445', '2024-01-10', 0),
('RT00446', '2025-01-14', 0),
('RT00447', '2024-07-26', 150000),
('RT00448', '2024-06-04', 150000),
('RT00449', '2024-05-22', 50000),
('RT00450', '2024-06-28', 0),
('RT00451', '2025-05-28', 200000),
('RT00452', '2024-04-30', 150000),
('RT00453', '2024-07-03', 0),
('RT00454', '2024-02-11', 0),
('RT00455', '2025-01-29', 0),
('RT00456', '2024-02-29', 150000),
('RT00457', '2025-10-01', 0),
('RT00458', '2025-04-06', 150000),
('RT00459', '2024-10-04', 0),
('RT00460', '2024-05-22', 200000),
('RT00461', '2025-12-28', 200000),
('RT00462', '2024-03-25', 0),
('RT00463', '2025-08-28', 0),
('RT00464', '2025-02-12', 0),
('RT00465', '2024-04-05', 150000),
('RT00466', '2025-11-22', 100000),
('RT00467', '2025-10-04', 0),
('RT00468', '2025-09-22', 0),
('RT00469', '2024-07-22', 0),
('RT00470', '2024-01-09', 0),
('RT00471', '2024-05-10', 150000),
('RT00472', '2025-12-07', 0),
('RT00473', '2024-09-05', 0),
('RT00474', '2025-09-29', 0),
('RT00475', '2024-08-13', 0),
('RT00476', '2024-06-27', 0),
('RT00477', '2024-07-31', 50000),
('RT00478', '2024-11-24', 0),
('RT00479', '2024-12-17', 150000),
('RT00480', '2025-04-11', 0),
('RT00481', '2025-06-18', 0),
('RT00482', '2024-12-07', 0),
('RT00483', '2025-09-02', 150000),
('RT00484', '2025-10-28', 0),
('RT00485', '2024-11-20', 150000),
('RT00486', '2025-01-31', 0),
('RT00487', '2025-07-22', 0),
('RT00488', '2024-02-21', 0),
('RT00489', '2024-06-25', 0),
('RT00490', '2025-08-24', 0),
('RT00491', '2024-08-13', 200000),
('RT00492', '2025-07-18', 0),
('RT00493', '2025-04-02', 0),
('RT00494', '2025-10-06', 150000),
('RT00495', '2025-02-24', 0),
('RT00496', '2024-05-26', 200000),
('RT00497', '2024-12-24', 0),
('RT00498', '2025-09-11', 0),
('RT00499', '2024-07-04', 0),
('RT00500', '2024-10-16', 0),
('RT00501', '2024-06-20', 0),
('RT00502', '2024-07-25', 200000),
('RT00503', '2025-10-31', 0),
('RT00504', '2024-06-21', 0),
('RT00505', '2025-07-03', 0),
('RT00506', '2024-04-24', 0),
('RT00507', '2024-06-14', 0),
('RT00508', '2025-10-10', 0),
('RT00509', '2024-05-21', 0),
('RT00510', '2024-03-02', 0),
('RT00511', '2025-03-31', 0),
('RT00512', '2024-02-08', 200000),
('RT00513', '2025-01-02', 100000),
('RT00514', '2024-10-18', 0),
('RT00515', '2025-03-05', 200000),
('RT00516', '2025-09-18', 0),
('RT00517', '2025-01-24', 0),
('RT00518', '2025-07-26', 50000),
('RT00519', '2025-09-20', 0),
('RT00520', '2024-08-02', 0),
('RT00521', '2025-06-22', 100000),
('RT00522', '2024-03-20', 0),
('RT00523', '2025-09-25', 0),
('RT00524', '2025-07-29', 200000),
('RT00525', '2025-10-29', 0),
('RT00526', '2024-09-16', 200000),
('RT00527', '2025-12-07', 0),
('RT00528', '2025-07-27', 200000),
('RT00529', '2025-11-07', 150000),
('RT00530', '2026-01-01', 0),
('RT00531', '2025-05-04', 100000),
('RT00532', '2024-01-02', 0),
('RT00533', '2024-02-23', 0),
('RT00534', '2024-06-20', 0),
('RT00535', '2025-03-17', 150000),
('RT00536', '2025-07-31', 0),
('RT00537', '2024-12-01', 0),
('RT00538', '2024-11-02', 0),
('RT00539', '2024-06-23', 0),
('RT00540', '2025-06-22', 0),
('RT00541', '2025-08-21', 0),
('RT00542', '2024-02-10', 0),
('RT00543', '2024-02-24', 0),
('RT00544', '2025-05-22', 0),
('RT00545', '2025-05-26', 50000),
('RT00546', '2026-01-03', 0),
('RT00547', '2025-07-05', 0),
('RT00548', '2025-09-04', 0),
('RT00549', '2025-02-17', 0),
('RT00550', '2024-10-22', 100000),
('RT00551', '2024-10-12', 0),
('RT00552', '2024-08-06', 200000),
('RT00553', '2025-04-27', 0),
('RT00554', '2025-07-20', 150000),
('RT00555', '2025-11-20', 150000),
('RT00556', '2025-03-01', 100000),
('RT00557', '2025-05-08', 0),
('RT00558', '2025-09-24', 100000),
('RT00559', '2024-05-04', 0),
('RT00560', '2025-03-05', 0),
('RT00561', '2025-10-28', 0),
('RT00562', '2025-12-25', 0),
('RT00563', '2024-04-18', 0),
('RT00564', '2024-02-28', 0),
('RT00565', '2025-08-19', 0),
('RT00566', '2024-08-24', 0),
('RT00567', '2025-11-03', 0),
('RT00568', '2024-11-15', 200000),
('RT00569', '2024-12-30', 0),
('RT00570', '2024-08-22', 0),
('RT00571', '2025-12-24', 150000),
('RT00572', '2024-03-03', 0),
('RT00573', '2024-08-28', 0),
('RT00574', '2024-12-01', 0),
('RT00575', '2024-04-25', 0),
('RT00576', '2024-01-04', 0),
('RT00577', '2025-10-11', 150000),
('RT00578', '2025-03-11', 0),
('RT00579', '2024-01-15', 0),
('RT00580', '2024-01-30', 0),
('RT00581', '2024-06-03', 0),
('RT00582', '2025-06-17', 0),
('RT00583', '2025-08-29', 0),
('RT00584', '2025-08-06', 100000),
('RT00585', '2025-07-03', 50000),
('RT00586', '2024-07-30', 150000),
('RT00587', '2024-10-29', 0),
('RT00588', '2025-04-19', 200000),
('RT00589', '2025-12-11', 50000),
('RT00590', '2025-12-30', 100000),
('RT00591', '2025-07-29', 0),
('RT00592', '2024-02-19', 0),
('RT00593', '2025-01-09', 50000),
('RT00594', '2025-02-19', 0),
('RT00595', '2024-10-14', 0),
('RT00596', '2025-03-11', 50000),
('RT00597', '2025-10-25', 100000),
('RT00598', '2024-05-06', 150000),
('RT00599', '2024-12-24', 200000),
('RT00600', '2024-04-29', 0),
('RT00601', '2025-04-02', 0),
('RT00602', '2024-10-24', 100000),
('RT00603', '2024-04-20', 100000),
('RT00604', '2024-12-28', 100000),
('RT00605', '2025-05-20', 0),
('RT00606', '2024-07-30', 150000),
('RT00607', '2025-01-05', 0),
('RT00608', '2024-07-09', 0),
('RT00609', '2024-12-29', 100000),
('RT00610', '2025-08-14', 0),
('RT00611', '2024-08-15', 50000),
('RT00612', '2025-06-20', 100000),
('RT00613', '2024-11-05', 200000),
('RT00614', '2024-03-22', 150000),
('RT00615', '2025-05-15', 200000),
('RT00616', '2024-04-19', 150000),
('RT00617', '2025-02-06', 50000),
('RT00618', '2025-03-04', 0),
('RT00619', '2025-07-01', 100000),
('RT00620', '2025-09-25', 0),
('RT00621', '2025-07-21', 0),
('RT00622', '2024-05-31', 0),
('RT00623', '2024-01-28', 0),
('RT00624', '2024-09-30', 50000),
('RT00625', '2025-10-16', 0),
('RT00626', '2025-11-10', 0),
('RT00627', '2024-02-10', 200000),
('RT00628', '2024-12-06', 0),
('RT00629', '2025-12-01', 0),
('RT00630', '2025-02-17', 0),
('RT00631', '2024-08-08', 150000),
('RT00632', '2025-10-17', 0),
('RT00633', '2024-01-16', 0),
('RT00634', '2025-08-13', 0),
('RT00635', '2024-08-15', 0),
('RT00636', '2025-02-09', 0),
('RT00637', '2024-03-19', 200000),
('RT00638', '2025-11-28', 200000),
('RT00639', '2024-11-21', 50000),
('RT00640', '2025-01-31', 0),
('RT00641', '2024-04-18', 0),
('RT00642', '2024-05-29', 150000),
('RT00643', '2025-01-26', 150000),
('RT00644', '2024-04-09', 0),
('RT00645', '2025-12-18', 0),
('RT00646', '2025-10-10', 150000),
('RT00647', '2025-03-29', 0),
('RT00648', '2024-06-17', 0),
('RT00649', '2024-01-19', 0),
('RT00650', '2024-08-13', 0),
('RT00651', '2025-05-09', 0),
('RT00652', '2025-06-24', 0),
('RT00653', '2025-09-01', 0),
('RT00654', '2024-01-07', 0),
('RT00655', '2025-01-11', 0),
('RT00656', '2024-09-30', 0),
('RT00657', '2024-08-08', 0),
('RT00658', '2025-04-18', 150000),
('RT00659', '2025-09-30', 200000),
('RT00660', '2025-05-25', 0),
('RT00661', '2025-04-29', 200000),
('RT00662', '2025-07-19', 100000),
('RT00663', '2024-09-06', 50000),
('RT00664', '2024-10-15', 0),
('RT00665', '2025-04-11', 0),
('RT00666', '2024-11-27', 50000),
('RT00667', '2024-02-07', 200000),
('RT00668', '2025-11-15', 0),
('RT00669', '2025-07-17', 0),
('RT00670', '2025-07-06', 200000),
('RT00671', '2025-02-26', 200000),
('RT00672', '2024-02-04', 0),
('RT00673', '2024-08-04', 0),
('RT00674', '2024-02-04', 50000),
('RT00675', '2024-07-03', 0),
('RT00676', '2025-02-24', 0),
('RT00677', '2024-04-25', 0),
('RT00678', '2024-11-29', 200000),
('RT00679', '2025-01-22', 50000),
('RT00680', '2025-05-05', 0),
('RT00681', '2024-04-29', 0),
('RT00682', '2024-08-16', 0),
('RT00683', '2024-04-18', 0),
('RT00684', '2024-07-09', 0),
('RT00685', '2024-12-30', 0),
('RT00686', '2025-10-28', 150000),
('RT00687', '2024-03-20', 200000),
('RT00688', '2025-02-09', 150000),
('RT00689', '2025-01-09', 200000),
('RT00690', '2025-09-20', 150000),
('RT00691', '2024-12-05', 0),
('RT00692', '2025-09-28', 0),
('RT00693', '2024-10-14', 0),
('RT00694', '2025-08-05', 0),
('RT00695', '2025-08-13', 150000),
('RT00696', '2025-01-15', 0),
('RT00697', '2024-04-26', 100000),
('RT00698', '2024-09-06', 0),
('RT00699', '2025-07-20', 50000),
('RT00700', '2024-04-24', 50000),
('RT00701', '2024-11-09', 50000),
('RT00702', '2024-02-06', 200000),
('RT00703', '2024-06-01', 100000),
('RT00704', '2024-11-21', 200000),
('RT00705', '2025-03-20', 100000),
('RT00706', '2025-12-22', 0),
('RT00707', '2025-08-14', 150000),
('RT00708', '2025-09-28', 0),
('RT00709', '2025-04-24', 0),
('RT00710', '2025-09-17', 0),
('RT00711', '2025-12-19', 150000),
('RT00712', '2025-06-07', 0),
('RT00713', '2024-11-12', 0),
('RT00714', '2025-12-15', 0),
('RT00715', '2025-07-25', 0),
('RT00716', '2024-08-04', 150000),
('RT00717', '2024-10-24', 0),
('RT00718', '2025-04-15', 50000),
('RT00719', '2024-05-26', 0),
('RT00720', '2025-06-08', 0),
('RT00721', '2024-02-07', 0),
('RT00722', '2024-07-06', 0),
('RT00723', '2024-10-01', 150000),
('RT00724', '2025-04-01', 100000),
('RT00725', '2024-02-10', 0),
('RT00726', '2024-05-06', 0),
('RT00727', '2024-10-06', 0),
('RT00728', '2025-05-05', 0),
('RT00729', '2024-11-10', 150000),
('RT00730', '2025-08-19', 0),
('RT00731', '2025-10-08', 150000),
('RT00732', '2025-08-15', 0),
('RT00733', '2025-11-19', 0),
('RT00734', '2025-02-10', 0),
('RT00735', '2024-08-11', 200000),
('RT00736', '2024-06-23', 50000),
('RT00737', '2025-04-13', 100000),
('RT00738', '2025-01-05', 0),
('RT00739', '2025-08-22', 0),
('RT00740', '2024-01-11', 0),
('RT00741', '2024-09-16', 0),
('RT00742', '2025-08-06', 50000),
('RT00743', '2025-07-18', 0),
('RT00744', '2025-06-10', 50000),
('RT00745', '2024-05-30', 100000),
('RT00746', '2024-06-27', 0),
('RT00747', '2025-02-27', 0),
('RT00748', '2025-01-24', 100000),
('RT00749', '2024-12-09', 0),
('RT00750', '2025-11-12', 0),
('RT00751', '2024-05-01', 50000),
('RT00752', '2025-12-03', 0),
('RT00753', '2025-09-24', 100000),
('RT00754', '2025-09-20', 200000),
('RT00755', '2025-05-05', 0),
('RT00756', '2024-08-18', 100000),
('RT00757', '2025-01-11', 0),
('RT00758', '2025-08-21', 50000),
