INSERT INTO Orders (order_id, order_price, order_date, return_date, duration_rent, customer_id, employee_id, payment_id, return_id, car_id) VALUES
('O00045', 200000, '2025-11-20', '2025-11-27', 7, 'CS00717', 'EP003', 'PM00045', 'RT00045', 'C071'),
('O00046', 1200000, '2024-02-22', '2024-02-26', 4, 'CS06125', 'EP002', 'PM00046', 'RT00046', 'C060'),
('O00047', 1500000, '2025-08-03', '2025-08-09', 6, 'CS02855', 'EP008', 'PM00047', 'RT00047', 'C029'),
('O00048', 200000, '2024-03-04', '2024-03-08', 4, 'CS03206', 'EP005', 'PM00048', 'RT00048', 'C095'),
('O00049', 900000, '2024-11-15', '2024-11-20', 5, 'CS07005', 'EP006', 'PM00049', 'RT00049', 'C082'),
('O00050', 200000, '2025-08-12', '2025-08-17', 5, 'CS08169', 'EP010', 'PM00050', 'RT00050', 'C054'),
('O00051', 500000, '2024-03-01', '2024-03-02', 1, 'CS07323', 'EP008', 'PM00051', 'RT00051', 'C093'),
('O00052', 2000000, '2025-05-16', '2025-05-19', 3, 'CS02144', 'EP003', 'PM00052', 'RT00052', 'C001'),
('O00053', 900000, '2025-11-14', '2025-11-18', 4, 'CS06603', 'EP008', 'PM00053', 'RT00053', 'C081'),
('O00054', 2000000, '2024-04-18', '2024-04-21', 3, 'CS08826', 'EP005', 'PM00054', 'RT00054', 'C094'),
('O00055', 200000, '2025-07-09', '2025-07-12', 3, 'CS06162', 'EP008', 'PM00055', 'RT00055', 'C058'),
('O00056', 1200000, '2024-09-12', '2024-09-17', 5, 'CS00044', 'EP001', 'PM00056', 'RT00056', 'C016'),
('O00057', 700000, '2024-12-19', '2024-12-20', 1, 'CS07377', 'EP001', 'PM00057', 'RT00057', 'C009'),
('O00058', 400000, '2024-06-15', '2024-06-16', 1, 'CS01991', 'EP006', 'PM00058', 'RT00058', 'C039'),
('O00059', 200000, '2024-02-22', '2024-02-23', 1, 'CS08736', 'EP001', 'PM00059', 'RT00059', 'C002'),
('O00060', 900000, '2025-03-25', '2025-03-28', 3, 'CS05032', 'EP005', 'PM00060', 'RT00060', 'C063'),
('O00061', 350000, '2025-04-04', '2025-04-11', 7, 'CS08962', 'EP006', 'PM00061', 'RT00061', 'C060'),
('O00062', 1500000, '2025-01-24', '2025-01-29', 5, 'CS00904', 'EP003', 'PM00062', 'RT00062', 'C032'),
('O00063', 2000000, '2024-05-01', '2024-05-03', 2, 'CS06134', 'EP009', 'PM00063', 'RT00063', 'C091'),
('O00064', 1500000, '2024-12-14', '2024-12-17', 3, 'CS07337', 'EP007', 'PM00064', 'RT00064', 'C071'),
('O00065', 1750000, '2025-09-08', '2025-09-09', 1, 'CS04931', 'EP003', 'PM00065', 'RT00065', 'C057'),
('O00066', 900000, '2025-04-03', '2025-04-10', 7, 'CS06050', 'EP009', 'PM00066', 'RT00066', 'C080'),
('O00067', 350000, '2025-09-25', '2025-09-29', 4, 'CS04141', 'EP004', 'PM00067', 'RT00067', 'C088'),
('O00068', 1200000, '2024-02-07', '2024-02-09', 2, 'CS07476', 'EP006', 'PM00068', 'RT00068', 'C089'),
('O00069', 2000000, '2025-01-01', '2025-01-05', 4, 'CS08283', 'EP005', 'PM00069', 'RT00069', 'C061'),
('O00070', 1200000, '2025-12-01', '2025-12-08', 7, 'CS07791', 'EP002', 'PM00070', 'RT00070', 'C073'),
('O00071', 900000, '2025-12-20', '2025-12-23', 3, 'CS08622', 'EP001', 'PM00071', 'RT00071', 'C019'),
('O00072', 700000, '2025-12-03', '2025-12-06', 3, 'CS00504', 'EP010', 'PM00072', 'RT00072', 'C069'),
('O00073', 1500000, '2025-03-04', '2025-03-09', 5, 'CS09840', 'EP007', 'PM00073', 'RT00073', 'C057'),
('O00074', 1500000, '2025-07-26', '2025-07-29', 3, 'CS08277', 'EP009', 'PM00074', 'RT00074', 'C071'),
('O00075', 350000, '2025-11-21', '2025-11-27', 6, 'CS04338', 'EP001', 'PM00075', 'RT00075', 'C079'),
('O00076', 700000, '2024-10-10', '2024-10-12', 2, 'CS08470', 'EP004', 'PM00076', 'RT00076', 'C013'),
('O00077', 1500000, '2024-02-09', '2024-02-10', 1, 'CS06594', 'EP005', 'PM00077', 'RT00077', 'C066'),
('O00078', 900000, '2024-04-29', '2024-05-06', 7, 'CS01769', 'EP001', 'PM00078', 'RT00078', 'C064'),
('O00079', 1500000, '2025-08-31', '2025-09-02', 2, 'CS00110', 'EP002', 'PM00079', 'RT00079', 'C054'),
('O00080', 900000, '2024-09-29', '2024-09-30', 1, 'CS06849', 'EP003', 'PM00080', 'RT00080', 'C022'),
('O00081', 2000000, '2024-10-02', '2024-10-06', 4, 'CS09269', 'EP010', 'PM00081', 'RT00081', 'C065'),
('O00082', 2000000, '2024-01-18', '2024-01-23', 5, 'CS01558', 'EP009', 'PM00082', 'RT00082', 'C090'),
('O00083', 900000, '2025-07-27', '2025-07-29', 2, 'CS08141', 'EP008', 'PM00083', 'RT00083', 'C089'),
('O00084', 2000000, '2025-06-27', '2025-06-29', 2, 'CS03133', 'EP004', 'PM00084', 'RT00084', 'C052'),
('O00085', 200000, '2024-01-31', '2024-02-05', 5, 'CS00594', 'EP010', 'PM00085', 'RT00085', 'C098'),
('O00086', 700000, '2025-08-01', '2025-08-05', 4, 'CS05605', 'EP008', 'PM00086', 'RT00086', 'C047'),
('O00087', 700000, '2024-08-06', '2024-08-09', 3, 'CS01043', 'EP006', 'PM00087', 'RT00087', 'C088'),
('O00088', 350000, '2025-01-22', '2025-01-27', 5, 'CS09906', 'EP006', 'PM00088', 'RT00088', 'C032'),
('O00089', 900000, '2024-07-10', '2024-07-14', 4, 'CS05280', 'EP003', 'PM00089', 'RT00089', 'C047'),
('O00090', 900000, '2024-05-05', '2024-05-10', 5, 'CS08580', 'EP008', 'PM00090', 'RT00090', 'C013'),
('O00091', 1500000, '2024-10-24', '2024-10-26', 2, 'CS08001', 'EP003', 'PM00091', 'RT00091', 'C089'),
('O00092', 200000, '2025-03-18', '2025-03-24', 6, 'CS09869', 'EP006', 'PM00092', 'RT00092', 'C011'),
('O00093', 200000, '2025-02-13', '2025-02-14', 1, 'CS02067', 'EP006', 'PM00093', 'RT00093', 'C025'),
('O00094', 1500000, '2024-02-06', '2024-02-08', 2, 'CS06512', 'EP006', 'PM00094', 'RT00094', 'C076'),
('O00095', 500000, '2025-08-27', '2025-08-28', 1, 'CS02491', 'EP005', 'PM00095', 'RT00095', 'C004'),
('O00096', 1750000, '2025-08-13', '2025-08-16', 3, 'CS02042', 'EP009', 'PM00096', 'RT00096', 'C032'),
('O00097', 1200000, '2024-02-17', '2024-02-18', 1, 'CS06004', 'EP005', 'PM00097', 'RT00097', 'C046'),
('O00098', 1500000, '2025-05-11', '2025-05-13', 2, 'CS00242', 'EP005', 'PM00098', 'RT00098', 'C043'),
('O00099', 500000, '2025-01-29', '2025-02-03', 5, 'CS04890', 'EP008', 'PM00099', 'RT00099', 'C013'),
('O00100', 350000, '2025-02-06', '2025-02-09', 3, 'CS01026', 'EP004', 'PM00100', 'RT00100', 'C033'),
('O00101', 400000, '2024-08-04', '2024-08-07', 3, 'CS08646', 'EP002', 'PM00101', 'RT00101', 'C074'),
('O00102', 1500000, '2024-04-27', '2024-05-03', 6, 'CS08371', 'EP009', 'PM00102', 'RT00102', 'C012'),
('O00103', 500000, '2024-09-19', '2024-09-20', 1, 'CS00050', 'EP009', 'PM00103', 'RT00103', 'C005'),
('O00104', 1200000, '2024-11-22', '2024-11-23', 1, 'CS00574', 'EP001', 'PM00104', 'RT00104', 'C035'),
('O00105', 1750000, '2025-05-02', '2025-05-09', 7, 'CS00512', 'EP003', 'PM00105', 'RT00105', 'C071'),
('O00106', 350000, '2024-10-07', '2024-10-08', 1, 'CS08426', 'EP007', 'PM00106', 'RT00106', 'C086'),
('O00107', 350000, '2025-01-06', '2025-01-10', 4, 'CS06240', 'EP009', 'PM00107', 'RT00107', 'C074'),
('O00108', 400000, '2025-07-24', '2025-07-31', 7, 'CS03007', 'EP007', 'PM00108', 'RT00108', 'C034'),
('O00109', 500000, '2025-06-16', '2025-06-22', 6, 'CS03275', 'EP010', 'PM00109', 'RT00109', 'C004'),
('O00110', 900000, '2024-06-25', '2024-06-27', 2, 'CS06754', 'EP008', 'PM00110', 'RT00110', 'C021'),
('O00111', 350000, '2025-10-22', '2025-10-23', 1, 'CS07842', 'EP007', 'PM00111', 'RT00111', 'C068'),
('O00112', 2000000, '2024-03-21', '2024-03-27', 6, 'CS04620', 'EP008', 'PM00112', 'RT00112', 'C057'),
('O00113', 200000, '2024-12-11', '2024-12-16', 5, 'CS02169', 'EP006', 'PM00113', 'RT00113', 'C069'),
('O00114', 1200000, '2024-08-06', '2024-08-07', 1, 'CS04294', 'EP006', 'PM00114', 'RT00114', 'C007'),
('O00115', 700000, '2025-11-16', '2025-11-23', 7, 'CS02656', 'EP007', 'PM00115', 'RT00115', 'C086'),
('O00116', 1500000, '2024-02-18', '2024-02-23', 5, 'CS08415', 'EP003', 'PM00116', 'RT00116', 'C096'),
('O00117', 1750000, '2024-05-01', '2024-05-02', 1, 'CS03352', 'EP005', 'PM00117', 'RT00117', 'C047'),
('O00118', 400000, '2025-12-12', '2025-12-16', 4, 'CS05810', 'EP010', 'PM00118', 'RT00118', 'C067'),
('O00119', 1500000, '2024-03-14', '2024-03-19', 5, 'CS08036', 'EP002', 'PM00119', 'RT00119', 'C028'),
('O00120', 350000, '2024-04-17', '2024-04-18', 1, 'CS00355', 'EP007', 'PM00120', 'RT00120', 'C094'),
('O00121', 900000, '2024-01-16', '2024-01-22', 6, 'CS03278', 'EP006', 'PM00121', 'RT00121', 'C091'),
('O00122', 200000, '2024-02-15', '2024-02-20', 5, 'CS02585', 'EP007', 'PM00122', 'RT00122', 'C077'),
('O00123', 1500000, '2025-02-23', '2025-02-28', 5, 'CS01107', 'EP010', 'PM00123', 'RT00123', 'C073'),
('O00124', 1200000, '2025-12-08', '2025-12-09', 1, 'CS01436', 'EP005', 'PM00124', 'RT00124', 'C066'),
('O00125', 2000000, '2025-09-14', '2025-09-18', 4, 'CS06467', 'EP005', 'PM00125', 'RT00125', 'C002'),
('O00126', 1500000, '2025-04-10', '2025-04-16', 6, 'CS09290', 'EP009', 'PM00126', 'RT00126', 'C056'),
('O00127', 1750000, '2025-05-22', '2025-05-27', 5, 'CS06872', 'EP004', 'PM00127', 'RT00127', 'C039'),
('O00128', 400000, '2025-02-26', '2025-03-02', 4, 'CS09917', 'EP010', 'PM00128', 'RT00128', 'C017'),
('O00129', 1750000, '2025-09-08', '2025-09-15', 7, 'CS03825', 'EP006', 'PM00129', 'RT00129', 'C077'),
('O00130', 500000, '2025-12-31', '2026-01-06', 6, 'CS09091', 'EP007', 'PM00130', 'RT00130', 'C047'),
('O00131', 900000, '2025-04-23', '2025-04-30', 7, 'CS03521', 'EP008', 'PM00131', 'RT00131', 'C017'),
('O00132', 400000, '2025-03-06', '2025-03-12', 6, 'CS04805', 'EP003', 'PM00132', 'RT00132', 'C085'),
('O00133', 1750000, '2025-12-20', '2025-12-21', 1, 'CS06968', 'EP004', 'PM00133', 'RT00133', 'C016'),
('O00134', 2000000, '2025-05-16', '2025-05-22', 6, 'CS05812', 'EP009', 'PM00134', 'RT00134', 'C033'),
('O00135', 1750000, '2025-03-05', '2025-03-08', 3, 'CS03058', 'EP006', 'PM00135', 'RT00135', 'C017'),
('O00136', 500000, '2025-09-20', '2025-09-26', 6, 'CS08320', 'EP002', 'PM00136', 'RT00136', 'C054'),
('O00137', 350000, '2025-10-10', '2025-10-16', 6, 'CS09720', 'EP006', 'PM00137', 'RT00137', 'C036'),
('O00138', 1750000, '2024-01-06', '2024-01-08', 2, 'CS04820', 'EP003', 'PM00138', 'RT00138', 'C030'),
('O00139', 1500000, '2025-10-23', '2025-10-24', 1, 'CS05645', 'EP007', 'PM00139', 'RT00139', 'C058'),
('O00140', 1750000, '2025-04-25', '2025-04-29', 4, 'CS02442', 'EP003', 'PM00140', 'RT00140', 'C041'),
('O00141', 1200000, '2025-03-24', '2025-03-26', 2, 'CS01165', 'EP001', 'PM00141', 'RT00141', 'C001'),
('O00142', 1500000, '2024-12-18', '2024-12-19', 1, 'CS08900', 'EP006', 'PM00142', 'RT00142', 'C013'),
('O00143', 700000, '2024-02-16', '2024-02-22', 6, 'CS09421', 'EP009', 'PM00143', 'RT00143', 'C047'),
('O00144', 1200000, '2024-05-03', '2024-05-05', 2, 'CS03271', 'EP010', 'PM00144', 'RT00144', 'C023'),
('O00145', 2000000, '2024-12-02', '2024-12-05', 3, 'CS07782', 'EP006', 'PM00145', 'RT00145', 'C034'),
('O00146', 700000, '2025-04-16', '2025-04-19', 3, 'CS07604', 'EP003', 'PM00146', 'RT00146', 'C011'),
('O00147', 200000, '2025-04-16', '2025-04-17', 1, 'CS03002', 'EP005', 'PM00147', 'RT00147', 'C081'),
('O00148', 350000, '2025-09-09', '2025-09-11', 2, 'CS07922', 'EP004', 'PM00148', 'RT00148', 'C033'),
('O00149', 700000, '2024-08-14', '2024-08-19', 5, 'CS04998', 'EP002', 'PM00149', 'RT00149', 'C040'),
('O00150', 400000, '2024-05-17', '2024-05-19', 2, 'CS02295', 'EP002', 'PM00150', 'RT00150', 'C060'),
('O00151', 2000000, '2025-07-17', '2025-07-24', 7, 'CS04518', 'EP001', 'PM00151', 'RT00151', 'C075'),
('O00152', 1200000, '2024-03-17', '2024-03-18', 1, 'CS07817', 'EP001', 'PM00152', 'RT00152', 'C064'),
('O00153', 2000000, '2025-09-26', '2025-10-03', 7, 'CS08309', 'EP007', 'PM00153', 'RT00153', 'C005'),
('O00154', 350000, '2024-06-21', '2024-06-25', 4, 'CS04840', 'EP010', 'PM00154', 'RT00154', 'C085'),
('O00155', 200000, '2024-03-26', '2024-03-29', 3, 'CS02476', 'EP005', 'PM00155', 'RT00155', 'C057'),
('O00156', 500000, '2024-09-13', '2024-09-20', 7, 'CS08241', 'EP006', 'PM00156', 'RT00156', 'C043'),
('O00157', 1500000, '2025-08-14', '2025-08-18', 4, 'CS02737', 'EP007', 'PM00157', 'RT00157', 'C028'),
('O00158', 500000, '2025-07-29', '2025-08-01', 3, 'CS07966', 'EP002', 'PM00158', 'RT00158', 'C042'),
('O00159', 1500000, '2025-05-10', '2025-05-13', 3, 'CS08595', 'EP010', 'PM00159', 'RT00159', 'C094'),
('O00160', 400000, '2024-12-15', '2024-12-16', 1, 'CS08480', 'EP007', 'PM00160', 'RT00160', 'C085'),
('O00161', 700000, '2024-02-17', '2024-02-19', 2, 'CS04308', 'EP010', 'PM00161', 'RT00161', 'C071'),
('O00162', 200000, '2025-09-07', '2025-09-12', 5, 'CS02731', 'EP003', 'PM00162', 'RT00162', 'C013'),
('O00163', 2000000, '2025-02-13', '2025-02-14', 1, 'CS07417', 'EP005', 'PM00163', 'RT00163', 'C062'),
('O00164', 400000, '2025-03-26', '2025-03-27', 1, 'CS03159', 'EP007', 'PM00164', 'RT00164', 'C085'),
('O00165', 350000, '2024-12-21', '2024-12-25', 4, 'CS09290', 'EP007', 'PM00165', 'RT00165', 'C083'),
('O00166', 700000, '2025-11-06', '2025-11-07', 1, 'CS09067', 'EP007', 'PM00166', 'RT00166', 'C095'),
('O00167', 900000, '2025-04-01', '2025-04-04', 3, 'CS07944', 'EP008', 'PM00167', 'RT00167', 'C057'),
('O00168', 1500000, '2025-08-07', '2025-08-11', 4, 'CS09432', 'EP008', 'PM00168', 'RT00168', 'C060'),
('O00169', 1500000, '2025-01-03', '2025-01-08', 5, 'CS07694', 'EP003', 'PM00169', 'RT00169', 'C053'),
('O00170', 900000, '2025-06-20', '2025-06-25', 5, 'CS05403', 'EP001', 'PM00170', 'RT00170', 'C086'),
('O00171', 1200000, '2025-04-19', '2025-04-25', 6, 'CS09906', 'EP003', 'PM00171', 'RT00171', 'C092'),
('O00172', 2000000, '2025-08-22', '2025-08-25', 3, 'CS02006', 'EP005', 'PM00172', 'RT00172', 'C008'),
('O00173', 350000, '2025-02-23', '2025-02-28', 5, 'CS00315', 'EP002', 'PM00173', 'RT00173', 'C054'),
('O00174', 1200000, '2025-08-19', '2025-08-23', 4, 'CS00893', 'EP003', 'PM00174', 'RT00174', 'C019'),
('O00175', 1750000, '2024-09-19', '2024-09-21', 2, 'CS04821', 'EP003', 'PM00175', 'RT00175', 'C051'),
('O00176', 400000, '2025-07-06', '2025-07-12', 6, 'CS06693', 'EP006', 'PM00176', 'RT00176', 'C048'),
('O00177', 350000, '2025-04-13', '2025-04-14', 1, 'CS03772', 'EP010', 'PM00177', 'RT00177', 'C083'),
('O00178', 2000000, '2024-06-19', '2024-06-26', 7, 'CS08845', 'EP005', 'PM00178', 'RT00178', 'C073'),
('O00179', 1500000, '2024-06-06', '2024-06-11', 5, 'CS07853', 'EP010', 'PM00179', 'RT00179', 'C043'),
('O00180', 1750000, '2024-01-20', '2024-01-26', 6, 'CS09808', 'EP007', 'PM00180', 'RT00180', 'C030'),
('O00181', 900000, '2024-11-21', '2024-11-22', 1, 'CS00768', 'EP002', 'PM00181', 'RT00181', 'C086'),
('O00182', 900000, '2024-10-20', '2024-10-23', 3, 'CS06885', 'EP003', 'PM00182', 'RT00182', 'C004'),
('O00183', 350000, '2025-11-25', '2025-11-26', 1, 'CS09302', 'EP003', 'PM00183', 'RT00183', 'C012'),
('O00184', 500000, '2024-08-08', '2024-08-09', 1, 'CS06851', 'EP009', 'PM00184', 'RT00184', 'C013'),
('O00185', 1750000, '2025-12-25', '2025-12-29', 4, 'CS03282', 'EP007', 'PM00185', 'RT00185', 'C051'),
('O00186', 500000, '2024-08-02', '2024-08-04', 2, 'CS09081', 'EP003', 'PM00186', 'RT00186', 'C082'),
('O00187', 2000000, '2025-03-23', '2025-03-30', 7, 'CS01641', 'EP009', 'PM00187', 'RT00187', 'C089'),
('O00188', 200000, '2025-10-05', '2025-10-12', 7, 'CS08513', 'EP010', 'PM00188', 'RT00188', 'C005'),
('O00189', 400000, '2025-03-14', '2025-03-19', 5, 'CS06374', 'EP009', 'PM00189', 'RT00189', 'C032'),
('O00190', 700000, '2025-12-13', '2025-12-18', 5, 'CS07324', 'EP008', 'PM00190', 'RT00190', 'C037'),
('O00191', 2000000, '2024-09-22', '2024-09-29', 7, 'CS00321', 'EP001', 'PM00191', 'RT00191', 'C014'),
('O00192', 500000, '2025-02-25', '2025-03-01', 4, 'CS05452', 'EP008', 'PM00192', 'RT00192', 'C090'),
('O00193', 500000, '2025-01-09', '2025-01-16', 7, 'CS06420', 'EP008', 'PM00193', 'RT00193', 'C048'),
('O00194', 900000, '2025-07-11', '2025-07-14', 3, 'CS03597', 'EP007', 'PM00194', 'RT00194', 'C056'),
('O00195', 1500000, '2024-10-28', '2024-10-29', 1, 'CS04837', 'EP005', 'PM00195', 'RT00195', 'C091'),
('O00196', 200000, '2024-08-09', '2024-08-10', 1, 'CS02629', 'EP009', 'PM00196', 'RT00196', 'C097'),
('O00197', 350000, '2025-04-08', '2025-04-09', 1, 'CS00810', 'EP005', 'PM00197', 'RT00197', 'C023'),
('O00198', 2000000, '2024-01-12', '2024-01-13', 1, 'CS08806', 'EP004', 'PM00198', 'RT00198', 'C048'),
('O00199', 1750000, '2025-09-18', '2025-09-24', 6, 'CS04086', 'EP006', 'PM00199', 'RT00199', 'C068'),
('O00200', 1200000, '2024-11-05', '2024-11-06', 1, 'CS02464', 'EP004', 'PM00200', 'RT00200', 'C047'),
('O00201', 1200000, '2025-06-02', '2025-06-05', 3, 'CS02924', 'EP001', 'PM00201', 'RT00201', 'C070'),
('O00202', 400000, '2024-09-24', '2024-09-30', 6, 'CS07076', 'EP010', 'PM00202', 'RT00202', 'C083'),
('O00203', 200000, '2025-04-17', '2025-04-21', 4, 'CS08974', 'EP007', 'PM00203', 'RT00203', 'C069'),
('O00204', 200000, '2024-10-21', '2024-10-28', 7, 'CS06419', 'EP007', 'PM00204', 'RT00204', 'C050'),
('O00205', 2000000, '2025-05-26', '2025-05-30', 4, 'CS03832', 'EP001', 'PM00205', 'RT00205', 'C053'),
('O00206', 900000, '2024-03-02', '2024-03-05', 3, 'CS04040', 'EP008', 'PM00206', 'RT00206', 'C078'),
('O00207', 200000, '2025-08-17', '2025-08-20', 3, 'CS05548', 'EP006', 'PM00207', 'RT00207', 'C011'),
('O00208', 400000, '2024-01-07', '2024-01-08', 1, 'CS09307', 'EP010', 'PM00208', 'RT00208', 'C066'),
('O00209', 2000000, '2025-01-07', '2025-01-10', 3, 'CS05090', 'EP007', 'PM00209', 'RT00209', 'C087'),
('O00210', 900000, '2024-11-13', '2024-11-15', 2, 'CS03757', 'EP004', 'PM00210', 'RT00210', 'C013'),
('O00211', 2000000, '2025-03-17', '2025-03-19', 2, 'CS08640', 'EP004', 'PM00211', 'RT00211', 'C027'),
('O00212', 500000, '2024-03-22', '2024-03-24', 2, 'CS08349', 'EP003', 'PM00212', 'RT00212', 'C093'),
('O00213', 350000, '2025-05-12', '2025-05-18', 6, 'CS06049', 'EP001', 'PM00213', 'RT00213', 'C098'),
('O00214', 1750000, '2024-05-17', '2024-05-18', 1, 'CS08803', 'EP007', 'PM00214', 'RT00214', 'C049'),
('O00215', 200000, '2025-01-31', '2025-02-05', 5, 'CS00760', 'EP008', 'PM00215', 'RT00215', 'C087'),
('O00216', 1750000, '2024-05-01', '2024-05-03', 2, 'CS01122', 'EP004', 'PM00216', 'RT00216', 'C047'),
('O00217', 200000, '2025-10-21', '2025-10-25', 4, 'CS06073', 'EP003', 'PM00217', 'RT00217', 'C026'),
('O00218', 2000000, '2025-08-08', '2025-08-10', 2, 'CS04079', 'EP003', 'PM00218', 'RT00218', 'C039'),
('O00219', 1200000, '2024-06-22', '2024-06-29', 7, 'CS01441', 'EP004', 'PM00219', 'RT00219', 'C098'),
('O00220', 1500000, '2024-10-15', '2024-10-22', 7, 'CS06436', 'EP010', 'PM00220', 'RT00220', 'C063'),
('O00221', 1200000, '2024-09-17', '2024-09-18', 1, 'CS03231', 'EP002', 'PM00221', 'RT00221', 'C068'),
('O00222', 900000, '2024-07-02', '2024-07-03', 1, 'CS01899', 'EP005', 'PM00222', 'RT00222', 'C031'),
