INSERT INTO Car (car_id, vehicle_number, year_car, name_car, brand_car, availability_st) VALUES
('C058', 'AD 6027 GL', 2017, 'Ertiga', 'Suzuki', 'not ready'),
('C059', 'DK 4268 RZ', 2019, 'Innova', 'Toyota', 'not ready'),
('C060', 'L 4460 HY', 2019, 'Innova', 'Toyota', 'ready'),
('C061', 'H 5949 WU', 2022, 'Seltos', 'Kia', 'ready'),
('C062', 'KT 9463 NM', 2016, 'CX-5', 'Mazda', 'ready'),
('C063', 'BK 6462 NO', 2025, 'Brio', 'Honda', 'not ready'),
('C064', 'BK 6894 EW', 2020, 'Ertiga', 'Suzuki', 'ready'),
('C065', 'BE 7475 CK', 2025, 'Civic', 'Honda', 'ready'),
('C066', 'AB 6331 PU', 2025, 'Confero', 'Wuling', 'not ready'),
('C067', 'K 8211 MN', 2023, 'Innova', 'Toyota', 'not ready'),
('C068', 'DK 9552 AB', 2016, 'Innova', 'Toyota', 'ready'),
('C069', 'N 9771 GX', 2022, 'Wrangler', 'Jeep', 'ready'),
('C070', 'AD 8666 SD', 2017, 'Ertiga', 'Suzuki', 'not ready'),
('C071', 'H 4143 KO', 2021, 'Veloz', 'Toyota', 'ready'),
('C072', 'AD 9086 KP', 2023, 'Ertiga', 'Suzuki', 'ready'),
('C073', 'AB 5328 KK', 2021, 'Innova', 'Toyota', 'ready'),
('C074', 'L 8398 EJ', 2017, 'Avanza', 'Toyota', 'ready'),
('C075', 'BH 9929 DI', 2017, 'Innova', 'Toyota', 'not ready'),
('C076', 'BE 4294 NI', 2024, 'Magnite', 'Nissan', 'not ready'),
('C077', 'BE 2723 OJ', 2024, 'Creta', 'Hyundai', 'not ready'),
('C078', 'S 8074 EI', 2025, 'Wrangler', 'Jeep', 'not ready'),
('C079', 'KT 2242 WB', 2017, 'Seltos', 'Kia', 'ready'),
('C080', 'AD 2031 YZ', 2024, 'CX-5', 'Mazda', 'ready'),
('C081', 'BH 2166 VD', 2015, 'Brio', 'Honda', 'ready'),
('C082', 'K 6202 AA', 2016, 'Xpander', 'Mitsubishi', 'ready'),
('C083', 'AB 8247 EL', 2022, 'Innova', 'Toyota', 'ready'),
('C084', 'BE 8984 UI', 2020, 'Pajero', 'Mitsubishi', 'not ready'),
('C085', 'B 4518 AQ', 2017, 'Creta', 'Hyundai', 'not ready'),
('C086', 'AD 9974 LP', 2020, 'Xenia', 'Daihatsu', 'ready'),
('C087', 'H 3456 PK', 2021, 'Xenia', 'Daihatsu', 'ready'),
('C088', 'BE 1904 CO', 2021, 'Harrier', 'Tata', 'not ready'),
('C089', 'S 8026 ET', 2015, 'Confero', 'Wuling', 'not ready'),
('C090', 'R 1582 MO', 2017, 'Veloz', 'Toyota', 'ready'),
('C091', 'F 3948 HT', 2021, 'Xenia', 'Daihatsu', 'not ready'),
('C092', 'N 3060 OD', 2016, 'Wrangler', 'Jeep', 'not ready'),
('C093', 'BK 8968 TU', 2015, 'Veloz', 'Toyota', 'ready'),
('C094', 'N 8634 PD', 2015, 'Ertiga', 'Suzuki', 'not ready'),
('C095', 'BK 5878 WA', 2022, 'Innova', 'Toyota', 'ready'),
('C096', 'KT 1647 ZC', 2015, 'Civic', 'Honda', 'ready'),
('C097', 'KT 7593 MP', 2016, 'Wrangler', 'Jeep', 'ready'),
('C098', 'DK 1754 GF', 2021, 'Xpander', 'Mitsubishi', 'ready'),
('C099', 'AB 2085 KH', 2017, 'Xpander', 'Mitsubishi', 'ready'),
('C100', 'AB 2726 GN', 2018, 'Brio', 'Honda', 'ready');
