INSERT INTO Payment (payment_id, payment_price, payment_status, payment_date) VALUES
('PM00061', 350000, 'paid', '2025-04-08'),
('PM00062', 1500000, 'paid', '2025-01-27'),
('PM00063', 2000000, 'paid', '2024-05-01'),
('PM00064', 1500000, 'paid', '2024-12-19'),
('PM00065', 1750000, 'paid', '2025-09-11'),
('PM00066', 900000, 'paid', '2025-04-09'),
('PM00067', 350000, 'paid', '2025-10-02'),
('PM00068', 1200000, 'paid', '2024-02-10'),
('PM00069', 2000000, 'paid', '2025-01-04'),
('PM00070', 1200000, 'paid', '2025-12-01'),
('PM00071', 900000, 'paid', '2025-12-24'),
('PM00072', 700000, 'unpaid', NULL),
('PM00073', 1500000, 'paid', '2025-03-11'),
('PM00074', 1500000, 'paid', '2025-07-30'),
('PM00075', 350000, 'paid', '2025-11-21'),
('PM00076', 700000, 'paid', '2024-10-15'),
('PM00077', 1500000, 'paid', '2024-02-12'),
('PM00078', 900000, 'paid', '2024-04-29'),
('PM00079', 1500000, 'paid', '2025-09-01'),
('PM00080', 900000, 'paid', '2024-09-30'),
('PM00081', 2000000, 'paid', '2024-10-04'),
('PM00082', 2000000, 'paid', '2024-01-20'),
('PM00083', 900000, 'paid', '2025-07-31'),
('PM00084', 2000000, 'paid', '2025-06-29'),
('PM00085', 200000, 'paid', '2024-02-04'),
('PM00086', 700000, 'paid', '2025-08-03'),
('PM00087', 700000, 'paid', '2024-08-10'),
('PM00088', 350000, 'paid', '2025-01-30'),
('PM00089', 900000, 'paid', '2024-07-15'),
('PM00090', 900000, 'unpaid', NULL),
('PM00091', 1500000, 'paid', '2024-10-26'),
('PM00092', 200000, 'paid', '2025-03-20'),
('PM00093', 200000, 'paid', '2025-02-17'),
('PM00094', 1500000, 'paid', '2024-02-07'),
('PM00095', 500000, 'paid', '2025-08-31'),
('PM00096', 1750000, 'paid', '2025-08-18'),
('PM00097', 1200000, 'paid', '2024-02-20'),
('PM00098', 1500000, 'paid', '2025-05-13'),
('PM00099', 500000, 'paid', '2025-01-31'),
('PM00100', 350000, 'paid', '2025-02-11'),
('PM00101', 400000, 'paid', '2024-08-04'),
('PM00102', 1500000, 'paid', '2024-05-04'),
('PM00103', 500000, 'paid', '2024-09-22'),
('PM00104', 1200000, 'paid', '2024-11-23'),
('PM00105', 1750000, 'paid', '2025-05-08'),
('PM00106', 350000, 'unpaid', NULL),
('PM00107', 350000, 'paid', '2025-01-07'),
('PM00108', 400000, 'paid', '2025-08-02'),
('PM00109', 500000, 'paid', '2025-06-19'),
('PM00110', 900000, 'paid', '2024-06-25'),
('PM00111', 350000, 'paid', '2025-10-22'),
('PM00112', 2000000, 'paid', '2024-03-28'),
('PM00113', 200000, 'paid', '2024-12-18'),
('PM00114', 1200000, 'paid', '2024-08-07'),
('PM00115', 700000, 'paid', '2025-11-20'),
('PM00116', 1500000, 'paid', '2024-02-20'),
('PM00117', 1750000, 'paid', '2024-05-02'),
('PM00118', 400000, 'paid', '2025-12-12'),
('PM00119', 1500000, 'paid', '2024-03-17'),
('PM00120', 350000, 'paid', '2024-04-21'),
('PM00121', 900000, 'paid', '2024-01-24'),
('PM00122', 200000, 'paid', '2024-02-18'),
('PM00123', 1500000, 'paid', '2025-02-23'),
('PM00124', 1200000, 'paid', '2025-12-09'),
('PM00125', 2000000, 'paid', '2025-09-18'),
('PM00126', 1500000, 'paid', '2025-04-14'),
('PM00127', 1750000, 'paid', '2025-05-25'),
('PM00128', 400000, 'paid', '2025-02-26'),
('PM00129', 1750000, 'paid', '2025-09-17'),
('PM00130', 500000, 'paid', '2026-01-06'),
('PM00131', 900000, 'paid', '2025-04-27'),
('PM00132', 400000, 'paid', '2025-03-09'),
('PM00133', 1750000, 'paid', '2025-12-24'),
('PM00134', 2000000, 'paid', '2025-05-24'),
('PM00135', 1750000, 'paid', '2025-03-09'),
('PM00136', 500000, 'unpaid', NULL),
('PM00137', 350000, 'paid', '2025-10-14'),
('PM00138', 1750000, 'paid', '2024-01-11'),
('PM00139', 1500000, 'unpaid', NULL),
('PM00140', 1750000, 'paid', '2025-05-02'),
('PM00141', 1200000, 'paid', '2025-03-28'),
('PM00142', 1500000, 'paid', '2024-12-20'),
('PM00143', 700000, 'paid', '2024-02-20'),
('PM00144', 1200000, 'paid', '2024-05-06'),
('PM00145', 2000000, 'paid', '2024-12-03'),
('PM00146', 700000, 'paid', '2025-04-19'),
('PM00147', 200000, 'paid', '2025-04-18'),
('PM00148', 350000, 'paid', '2025-09-10'),
('PM00149', 700000, 'paid', '2024-08-18'),
('PM00150', 400000, 'paid', '2024-05-20'),
('PM00151', 2000000, 'unpaid', NULL),
('PM00152', 1200000, 'paid', '2024-03-18'),
('PM00153', 2000000, 'paid', '2025-09-29'),
('PM00154', 350000, 'paid', '2024-06-21'),
('PM00155', 200000, 'paid', '2024-03-27'),
('PM00156', 500000, 'unpaid', NULL),
('PM00157', 1500000, 'paid', '2025-08-19'),
('PM00158', 500000, 'paid', '2025-08-03'),
('PM00159', 1500000, 'paid', '2025-05-12'),
('PM00160', 400000, 'paid', '2024-12-15'),
('PM00161', 700000, 'paid', '2024-02-19'),
('PM00162', 200000, 'paid', '2025-09-08'),
('PM00163', 2000000, 'paid', '2025-02-14'),
('PM00164', 400000, 'paid', '2025-03-26'),
('PM00165', 350000, 'paid', '2024-12-28'),
('PM00166', 700000, 'paid', '2025-11-09'),
('PM00167', 900000, 'paid', '2025-04-03'),
('PM00168', 1500000, 'paid', '2025-08-14'),
('PM00169', 1500000, 'paid', '2025-01-04'),
('PM00170', 900000, 'paid', '2025-06-21'),
('PM00171', 1200000, 'unpaid', NULL),
('PM00172', 2000000, 'paid', '2025-08-23'),
('PM00173', 350000, 'paid', '2025-03-01'),
('PM00174', 1200000, 'paid', '2025-08-26'),
('PM00175', 1750000, 'unpaid', NULL),
('PM00176', 400000, 'paid', '2025-07-12'),
('PM00177', 350000, 'paid', '2025-04-14'),
('PM00178', 2000000, 'paid', '2024-06-25'),
('PM00179', 1500000, 'paid', '2024-06-14'),
('PM00180', 1750000, 'unpaid', NULL),
('PM00181', 900000, 'paid', '2024-11-23'),
('PM00182', 900000, 'paid', '2024-10-20'),
('PM00183', 350000, 'paid', '2025-11-27'),
('PM00184', 500000, 'unpaid', NULL),
('PM00185', 1750000, 'paid', '2025-12-30'),
('PM00186', 500000, 'paid', '2024-08-03'),
('PM00187', 2000000, 'paid', '2025-03-30'),
('PM00188', 200000, 'paid', '2025-10-14'),
('PM00189', 400000, 'paid', '2025-03-21'),
('PM00190', 700000, 'paid', '2025-12-17'),
('PM00191', 2000000, 'paid', '2024-09-25'),
('PM00192', 500000, 'paid', '2025-02-28'),
('PM00193', 500000, 'paid', '2025-01-11'),
('PM00194', 900000, 'paid', '2025-07-17'),
('PM00195', 1500000, 'paid', '2024-10-31'),
('PM00196', 200000, 'paid', '2024-08-09'),
('PM00197', 350000, 'paid', '2025-04-08'),
('PM00198', 2000000, 'paid', '2024-01-13'),
('PM00199', 1750000, 'paid', '2025-09-24'),
('PM00200', 1200000, 'paid', '2024-11-06'),
('PM00201', 1200000, 'paid', '2025-06-04'),
('PM00202', 400000, 'paid', '2024-09-25'),
('PM00203', 200000, 'paid', '2025-04-22'),
('PM00204', 200000, 'unpaid', NULL),
('PM00205', 2000000, 'paid', '2025-06-02'),
('PM00206', 900000, 'paid', '2024-03-04'),
('PM00207', 200000, 'paid', '2025-08-19'),
('PM00208', 400000, 'paid', '2024-01-07'),
('PM00209', 2000000, 'unpaid', NULL),
('PM00210', 900000, 'paid', '2024-11-14'),
('PM00211', 2000000, 'paid', '2025-03-21'),
('PM00212', 500000, 'paid', '2024-03-22'),
('PM00213', 350000, 'paid', '2025-05-14'),
('PM00214', 1750000, 'paid', '2024-05-20'),
('PM00215', 200000, 'paid', '2025-02-03'),
('PM00216', 1750000, 'paid', '2024-05-04'),
('PM00217', 200000, 'paid', '2025-10-28'),
('PM00218', 2000000, 'paid', '2025-08-09'),
('PM00219', 1200000, 'paid', '2024-06-27'),
('PM00220', 1500000, 'unpaid', NULL),
('PM00221', 1200000, 'paid', '2024-09-21'),
('PM00222', 900000, 'paid', '2024-07-06'),
('PM00223', 200000, 'paid', '2025-09-09'),
('PM00224', 1500000, 'paid', '2025-10-13'),
('PM00225', 200000, 'paid', '2024-08-21'),
('PM00226', 900000, 'paid', '2024-07-20'),
('PM00227', 700000, 'paid', '2024-07-22'),
('PM00228', 900000, 'paid', '2024-11-14'),
('PM00229', 700000, 'paid', '2025-06-24'),
('PM00230', 350000, 'paid', '2025-08-13'),
('PM00231', 400000, 'paid', '2024-07-29'),
('PM00232', 350000, 'paid', '2025-10-06'),
('PM00233', 1500000, 'unpaid', NULL),
('PM00234', 500000, 'paid', '2025-09-29'),
('PM00235', 500000, 'paid', '2025-03-31'),
('PM00236', 700000, 'paid', '2024-03-30'),
('PM00237', 400000, 'paid', '2024-06-06'),
('PM00238', 2000000, 'paid', '2025-10-07'),
('PM00239', 2000000, 'unpaid', NULL),
('PM00240', 1500000, 'unpaid', NULL),
('PM00241', 200000, 'paid', '2024-02-12'),
('PM00242', 700000, 'paid', '2024-05-26'),
('PM00243', 500000, 'unpaid', NULL),
('PM00244', 700000, 'paid', '2025-12-11'),
('PM00245', 900000, 'unpaid', NULL),
('PM00246', 350000, 'paid', '2025-04-07'),
('PM00247', 900000, 'paid', '2024-09-06'),
('PM00248', 1500000, 'paid', '2025-05-13'),
('PM00249', 400000, 'paid', '2024-05-20'),
('PM00250', 900000, 'paid', '2025-06-21'),
('PM00251', 2000000, 'paid', '2024-07-30'),
('PM00252', 2000000, 'paid', '2024-08-01'),
('PM00253', 1750000, 'paid', '2024-08-15'),
('PM00254', 2000000, 'paid', '2024-01-29'),
('PM00255', 350000, 'paid', '2024-03-30'),
('PM00256', 2000000, 'unpaid', NULL),
('PM00257', 700000, 'paid', '2025-08-27'),
('PM00258', 500000, 'paid', '2024-09-12'),
('PM00259', 900000, 'paid', '2025-05-31'),
('PM00260', 400000, 'paid', '2025-10-19'),
('PM00261', 1200000, 'paid', '2025-08-27'),
('PM00262', 400000, 'paid', '2024-10-13'),
('PM00263', 350000, 'paid', '2024-04-19'),
('PM00264', 700000, 'paid', '2025-10-14'),
('PM00265', 500000, 'unpaid', NULL),
('PM00266', 1200000, 'paid', '2024-04-18'),
('PM00267', 400000, 'unpaid', NULL),
('PM00268', 200000, 'paid', '2025-05-05'),
('PM00269', 400000, 'paid', '2025-06-07'),
('PM00270', 400000, 'paid', '2025-03-18'),
('PM00271', 700000, 'paid', '2025-12-31'),
('PM00272', 1750000, 'paid', '2025-07-25'),
('PM00273', 500000, 'paid', '2025-08-30'),
('PM00274', 400000, 'paid', '2025-10-09'),
('PM00275', 400000, 'paid', '2025-10-21'),
('PM00276', 400000, 'paid', '2025-04-05'),
('PM00277', 1200000, 'paid', '2024-12-06'),
('PM00278', 1500000, 'paid', '2024-04-08'),
('PM00279', 2000000, 'paid', '2024-11-16'),
('PM00280', 1200000, 'unpaid', NULL),
('PM00281', 700000, 'paid', '2025-04-17'),
('PM00282', 200000, 'paid', '2024-10-14'),
('PM00283', 1500000, 'paid', '2024-11-29'),
('PM00284', 700000, 'paid', '2025-07-06'),
('PM00285', 700000, 'paid', '2025-07-08'),
('PM00286', 350000, 'paid', '2025-12-28'),
('PM00287', 1500000, 'unpaid', NULL),
('PM00288', 200000, 'paid', '2024-02-02'),
('PM00289', 350000, 'paid', '2025-02-13'),
('PM00290', 1750000, 'paid', '2025-01-15'),
('PM00291', 2000000, 'paid', '2025-07-11'),
('PM00292', 350000, 'paid', '2024-04-04'),
('PM00293', 350000, 'paid', '2025-08-02'),
('PM00294', 200000, 'paid', '2025-07-14'),
('PM00295', 400000, 'paid', '2024-06-24'),
('PM00296', 900000, 'paid', '2025-07-17'),
('PM00297', 1500000, 'paid', '2025-09-07'),
('PM00298', 700000, 'paid', '2025-11-29'),
('PM00299', 200000, 'paid', '2024-11-16'),
('PM00300', 2000000, 'paid', '2025-08-08'),
('PM00301', 200000, 'paid', '2025-09-29'),
('PM00302', 1200000, 'paid', '2024-05-27'),
('PM00303', 2000000, 'paid', '2025-05-26'),
('PM00304', 2000000, 'unpaid', NULL),
('PM00305', 900000, 'paid', '2024-01-24'),
('PM00306', 2000000, 'paid', '2024-08-24'),
('PM00307', 350000, 'paid', '2025-09-19'),
('PM00308', 1500000, 'paid', '2025-06-08'),
('PM00309', 1750000, 'unpaid', NULL),
('PM00310', 1750000, 'paid', '2024-12-18'),
('PM00311', 2000000, 'paid', '2024-01-14'),
('PM00312', 700000, 'paid', '2025-11-27'),
('PM00313', 1750000, 'paid', '2025-03-23'),
('PM00314', 500000, 'paid', '2024-01-25'),
('PM00315', 1500000, 'paid', '2024-12-29'),
('PM00316', 700000, 'paid', '2024-10-18'),
('PM00317', 1750000, 'paid', '2025-04-13'),
('PM00318', 1500000, 'paid', '2025-06-29'),
('PM00319', 2000000, 'paid', '2024-05-17'),
('PM00320', 1500000, 'paid', '2025-07-04'),
('PM00321', 2000000, 'paid', '2024-03-31'),
('PM00322', 400000, 'paid', '2025-11-01'),
('PM00323', 1500000, 'paid', '2025-11-01'),
('PM00324', 500000, 'paid', '2024-04-07'),
('PM00325', 1750000, 'paid', '2024-05-14'),
('PM00326', 500000, 'paid', '2025-07-21'),
('PM00327', 2000000, 'paid', '2024-02-18'),
('PM00328', 400000, 'paid', '2024-12-24'),
('PM00329', 500000, 'paid', '2025-11-06'),
('PM00330', 1750000, 'paid', '2025-06-15'),
('PM00331', 2000000, 'paid', '2025-07-28'),
('PM00332', 700000, 'paid', '2025-10-26'),
('PM00333', 200000, 'unpaid', NULL),
('PM00334', 200000, 'paid', '2025-03-23'),
('PM00335', 350000, 'unpaid', NULL),
('PM00336', 1750000, 'paid', '2025-12-10'),
('PM00337', 1500000, 'paid', '2025-06-29'),
('PM00338', 400000, 'paid', '2024-10-03'),
('PM00339', 900000, 'unpaid', NULL),
('PM00340', 700000, 'paid', '2025-10-31'),
('PM00341', 2000000, 'unpaid', NULL),
('PM00342', 900000, 'paid', '2025-03-15'),
('PM00343', 1750000, 'paid', '2024-11-25'),
('PM00344', 1750000, 'paid', '2024-12-16'),
('PM00345', 1200000, 'paid', '2025-08-19'),
('PM00346', 1200000, 'paid', '2024-02-06'),
('PM00347', 900000, 'paid', '2024-06-15'),
('PM00348', 1500000, 'paid', '2024-09-23'),
('PM00349', 1750000, 'paid', '2025-08-14'),
('PM00350', 350000, 'unpaid', NULL),
('PM00351', 1500000, 'paid', '2025-07-21'),
('PM00352', 350000, 'paid', '2024-11-01'),
('PM00353', 400000, 'unpaid', NULL),
('PM00354', 500000, 'paid', '2025-01-23'),
('PM00355', 500000, 'paid', '2025-04-05'),
('PM00356', 700000, 'paid', '2025-05-08'),
('PM00357', 1200000, 'paid', '2024-11-08'),
('PM00358', 700000, 'paid', '2024-02-13'),
('PM00359', 500000, 'paid', '2025-11-27'),
('PM00360', 700000, 'unpaid', NULL),
('PM00361', 400000, 'paid', '2025-10-14'),
('PM00362', 700000, 'paid', '2024-10-18'),
('PM00363', 2000000, 'paid', '2025-08-10'),
('PM00364', 2000000, 'paid', '2024-04-17'),
('PM00365', 1500000, 'paid', '2024-11-16'),
('PM00366', 1200000, 'paid', '2024-07-16'),
('PM00367', 900000, 'paid', '2025-03-31'),
('PM00368', 500000, 'paid', '2025-07-16'),
('PM00369', 200000, 'paid', '2025-02-01'),
('PM00370', 900000, 'paid', '2024-06-20'),
('PM00371', 1500000, 'unpaid', NULL),
('PM00372', 900000, 'paid', '2025-02-15'),
('PM00373', 1200000, 'paid', '2025-08-29'),
('PM00374', 1200000, 'paid', '2024-02-12'),
('PM00375', 700000, 'paid', '2024-01-19'),
('PM00376', 900000, 'paid', '2024-08-01'),
('PM00377', 700000, 'paid', '2024-12-08'),
('PM00378', 200000, 'paid', '2024-02-19'),
('PM00379', 200000, 'paid', '2024-02-28'),
('PM00380', 700000, 'paid', '2024-10-27'),
('PM00381', 350000, 'paid', '2024-11-21'),
('PM00382', 350000, 'paid', '2025-12-09'),
('PM00383', 1750000, 'paid', '2025-11-25'),
('PM00384', 500000, 'paid', '2025-01-03'),
('PM00385', 2000000, 'paid', '2024-05-25'),
('PM00386', 400000, 'paid', '2025-03-01'),
('PM00387', 2000000, 'paid', '2025-05-19'),
('PM00388', 350000, 'paid', '2025-05-30'),
('PM00389', 1750000, 'paid', '2024-02-05'),
('PM00390', 500000, 'paid', '2024-08-21'),
('PM00391', 1500000, 'paid', '2025-01-08'),
('PM00392', 1750000, 'paid', '2025-07-04'),
('PM00393', 1200000, 'paid', '2024-03-09'),
('PM00394', 1200000, 'paid', '2025-06-03'),
('PM00395', 200000, 'paid', '2024-01-21'),
('PM00396', 2000000, 'paid', '2024-12-22'),
('PM00397', 1750000, 'paid', '2025-11-03'),
('PM00398', 1500000, 'paid', '2025-07-27'),
('PM00399', 1500000, 'paid', '2025-04-20'),
('PM00400', 1200000, 'paid', '2024-10-06'),
('PM00401', 500000, 'unpaid', NULL),
('PM00402', 350000, 'paid', '2024-02-21'),
('PM00403', 1200000, 'paid', '2025-09-15'),
('PM00404', 1500000, 'paid', '2025-04-17'),
('PM00405', 500000, 'paid', '2024-11-22'),
('PM00406', 200000, 'paid', '2024-03-30'),
('PM00407', 350000, 'paid', '2025-08-27'),
('PM00408', 1750000, 'paid', '2024-02-27'),
('PM00409', 200000, 'paid', '2025-12-06'),
('PM00410', 500000, 'paid', '2024-05-28'),
('PM00411', 1200000, 'paid', '2025-12-10'),
('PM00412', 700000, 'paid', '2025-05-15'),
('PM00413', 1200000, 'paid', '2024-10-16'),
('PM00414', 500000, 'paid', '2025-04-18'),
('PM00415', 1200000, 'paid', '2025-02-14'),
('PM00416', 350000, 'paid', '2024-09-21'),
('PM00417', 1750000, 'paid', '2024-01-20'),
('PM00418', 200000, 'paid', '2025-06-22'),
('PM00419', 350000, 'paid', '2025-02-05'),
('PM00420', 1500000, 'paid', '2024-09-11'),
('PM00421', 200000, 'paid', '2024-10-27'),
('PM00422', 350000, 'paid', '2024-01-19'),
('PM00423', 500000, 'paid', '2024-12-29'),
('PM00424', 900000, 'paid', '2025-01-18'),
('PM00425', 200000, 'paid', '2024-04-04'),
('PM00426', 400000, 'paid', '2025-02-13'),
('PM00427', 1750000, 'paid', '2024-11-26'),
('PM00428', 500000, 'paid', '2025-03-15'),
('PM00429', 400000, 'paid', '2024-06-16'),
('PM00430', 350000, 'paid', '2025-11-27'),
('PM00431', 2000000, 'paid', '2025-05-22'),
('PM00432', 400000, 'paid', '2025-10-19'),
('PM00433', 500000, 'paid', '2024-12-25'),
('PM00434', 400000, 'paid', '2024-09-16'),
('PM00435', 400000, 'paid', '2025-10-29'),
('PM00436', 400000, 'paid', '2025-12-13'),
('PM00437', 700000, 'paid', '2024-10-17'),
('PM00438', 400000, 'paid', '2025-08-01'),
('PM00439', 400000, 'paid', '2025-11-12'),
('PM00440', 350000, 'paid', '2025-11-01'),
('PM00441', 700000, 'paid', '2024-07-28'),
('PM00442', 350000, 'paid', '2025-03-04'),
('PM00443', 500000, 'paid', '2025-01-20'),
('PM00444', 2000000, 'paid', '2024-06-19'),
('PM00445', 200000, 'paid', '2024-01-05'),
('PM00446', 1200000, 'paid', '2025-01-12'),
('PM00447', 700000, 'paid', '2024-07-25'),
('PM00448', 2000000, 'paid', '2024-05-28'),
('PM00449', 1500000, 'paid', '2024-05-22'),
('PM00450', 2000000, 'unpaid', NULL),
('PM00451', 700000, 'paid', '2025-05-27'),
('PM00452', 200000, 'paid', '2024-04-30'),
('PM00453', 700000, 'paid', '2024-06-29'),
('PM00454', 1200000, 'paid', '2024-02-10'),
('PM00455', 400000, 'paid', '2025-01-30'),
('PM00456', 200000, 'paid', '2024-02-27'),
('PM00457', 1200000, 'paid', '2025-10-03'),
('PM00458', 1750000, 'paid', '2025-03-31'),
('PM00459', 350000, 'paid', '2024-10-03'),
('PM00460', 1750000, 'paid', '2024-05-15'),
('PM00461', 400000, 'paid', '2025-12-25'),
('PM00462', 700000, 'paid', '2024-03-22'),
('PM00463', 350000, 'paid', '2025-08-27'),
('PM00464', 900000, 'paid', '2025-02-09'),
('PM00465', 1500000, 'paid', '2024-04-04'),
('PM00466', 700000, 'unpaid', NULL),
('PM00467', 350000, 'paid', '2025-09-27'),
('PM00468', 200000, 'paid', '2025-09-25'),
('PM00469', 1750000, 'paid', '2024-07-16'),
('PM00470', 1200000, 'paid', '2024-01-12'),
('PM00471', 350000, 'paid', '2024-05-08'),
('PM00472', 2000000, 'paid', '2025-12-09'),
('PM00473', 700000, 'unpaid', NULL),
('PM00474', 200000, 'paid', '2025-09-29'),
('PM00475', 2000000, 'unpaid', NULL),
('PM00476', 1750000, 'paid', '2024-06-27'),
('PM00477', 900000, 'paid', '2024-07-29'),
('PM00478', 1750000, 'paid', '2024-11-21'),
('PM00479', 1500000, 'paid', '2024-12-12'),
('PM00480', 1500000, 'paid', '2025-04-10'),
('PM00481', 900000, 'paid', '2025-06-18'),
('PM00482', 1500000, 'paid', '2024-12-08'),
('PM00483', 500000, 'paid', '2025-08-30'),
('PM00484', 1750000, 'paid', '2025-10-27'),
('PM00485', 350000, 'paid', '2024-11-22'),
('PM00486', 400000, 'paid', '2025-01-26'),
('PM00487', 1750000, 'paid', '2025-07-21'),
('PM00488', 350000, 'paid', '2024-02-21'),
('PM00489', 200000, 'paid', '2024-06-24'),
('PM00490', 2000000, 'paid', '2025-08-27'),
('PM00491', 1500000, 'paid', '2024-08-07'),
('PM00492', 900000, 'paid', '2025-07-21'),
('PM00493', 500000, 'paid', '2025-03-31'),
('PM00494', 1750000, 'paid', '2025-10-08'),
('PM00495', 200000, 'paid', '2025-02-23'),
('PM00496', 2000000, 'paid', '2024-05-19'),
('PM00497', 1750000, 'unpaid', NULL),
('PM00498', 1500000, 'unpaid', NULL),
('PM00499', 700000, 'paid', '2024-07-03'),
('PM00500', 1500000, 'paid', '2024-10-16'),
('PM00501', 350000, 'paid', '2024-06-23'),
('PM00502', 1500000, 'paid', '2024-07-18'),
('PM00503', 350000, 'paid', '2025-10-31'),
('PM00504', 500000, 'paid', '2024-06-19'),
('PM00505', 500000, 'paid', '2025-07-05'),
('PM00506', 1750000, 'paid', '2024-04-22'),
('PM00507', 1750000, 'paid', '2024-06-09'),
('PM00508', 700000, 'paid', '2025-10-09'),
('PM00509', 2000000, 'paid', '2024-05-20'),
('PM00510', 200000, 'unpaid', NULL),
('PM00511', 900000, 'paid', '2025-04-02'),
('PM00512', 350000, 'paid', '2024-02-08'),
('PM00513', 350000, 'paid', '2024-12-28'),
('PM00514', 2000000, 'paid', '2024-10-16'),
('PM00515', 500000, 'paid', '2025-02-25'),
('PM00516', 900000, 'paid', '2025-09-20'),
('PM00517', 2000000, 'paid', '2025-01-25'),
('PM00518', 200000, 'paid', '2025-07-25'),
('PM00519', 2000000, 'unpaid', NULL),
('PM00520', 2000000, 'paid', '2024-07-31'),
('PM00521', 1500000, 'paid', '2025-06-18'),
('PM00522', 700000, 'paid', '2024-03-20'),
('PM00523', 1500000, 'paid', '2025-09-19'),
('PM00524', 350000, 'paid', '2025-07-28'),
('PM00525', 500000, 'unpaid', NULL),
('PM00526', 400000, 'paid', '2024-09-11'),
('PM00527', 350000, 'paid', '2025-12-04'),
('PM00528', 2000000, 'paid', '2025-07-21'),
('PM00529', 700000, 'paid', '2025-11-04'),
('PM00530', 900000, 'paid', '2025-12-31'),
('PM00531', 1500000, 'paid', '2025-05-02'),
('PM00532', 1200000, 'paid', '2024-01-05'),
('PM00533', 400000, 'paid', '2024-02-23'),
('PM00534', 2000000, 'paid', '2024-06-19'),
('PM00535', 700000, 'unpaid', NULL),
('PM00536', 1500000, 'paid', '2025-07-31'),
('PM00537', 2000000, 'paid', '2024-12-01'),
('PM00538', 1750000, 'paid', '2024-11-02'),
('PM00539', 700000, 'paid', '2024-06-23'),
('PM00540', 700000, 'paid', '2025-06-20'),
('PM00541', 200000, 'paid', '2025-08-16'),
('PM00542', 700000, 'paid', '2024-02-12'),
('PM00543', 2000000, 'paid', '2024-02-22'),
('PM00544', 1500000, 'paid', '2025-05-19'),
('PM00545', 1750000, 'paid', '2025-05-26'),
('PM00546', 500000, 'paid', '2026-01-02'),
('PM00547', 1200000, 'paid', '2025-07-02'),
('PM00548', 200000, 'paid', '2025-08-31'),
('PM00549', 900000, 'paid', '2025-02-19'),
('PM00550', 2000000, 'paid', '2024-10-21'),
('PM00551', 400000, 'paid', '2024-10-14'),
('PM00552', 400000, 'paid', '2024-08-02'),
('PM00553', 2000000, 'paid', '2025-04-30'),
