INSERT INTO Penalty (penalty_id, penalty_price, payment_id, type_of_violation, return_id) VALUES
('PN00037', 150000, 'PM00198', 'Kecelakaan', 'RT00198'),
('PN00038', 100000, 'PM00079', 'Terlambat mengembalikan', 'RT00079'),
('PN00039', 150000, 'PM00624', 'Terlambat mengembalikan', 'RT00624'),
('PN00040', 100000, 'PM00899', 'Kerusakan ringan', 'RT00899'),
('PN00041', 300000, 'PM00466', 'Kerusakan ringan', 'RT00466'),
('PN00042', 150000, 'PM00571', 'Kecelakaan', 'RT00571'),
('PN00043', 50000, 'PM00998', 'Kerusakan ringan', 'RT00998'),
('PN00044', 150000, 'PM00925', 'Kerusakan ringan', 'RT00925'),
('PN00045', 200000, 'PM00806', 'Kecelakaan', 'RT00806'),
('PN00046', 150000, 'PM00161', 'Kerusakan ringan', 'RT00161'),
('PN00047', 50000, 'PM00095', 'Terlambat mengembalikan', 'RT00095'),
('PN00048', 50000, 'PM00248', 'Terlambat mengembalikan', 'RT00248'),
('PN00049', 200000, 'PM00524', 'Kecelakaan', 'RT00524'),
('PN00050', 150000, 'PM00379', 'Terlambat mengembalikan', 'RT00379'),
('PN00051', 100000, 'PM00130', 'Kerusakan ringan', 'RT00130'),
('PN00052', 300000, 'PM00603', 'Terlambat mengembalikan', 'RT00603'),
('PN00053', 200000, 'PM00736', 'Kecelakaan', 'RT00736'),
('PN00054', 300000, 'PM00417', 'Kecelakaan', 'RT00417'),
('PN00055', 200000, 'PM00309', 'Kerusakan ringan', 'RT00309'),
('PN00056', 200000, 'PM00435', 'Kerusakan ringan', 'RT00435'),
('PN00057', 100000, 'PM00176', 'Kecelakaan', 'RT00176'),
('PN00058', 100000, 'PM00972', 'Terlambat mengembalikan', 'RT00972'),
('PN00059', 200000, 'PM00494', 'Kecelakaan', 'RT00494'),
('PN00060', 300000, 'PM00483', 'Kerusakan ringan', 'RT00483'),
('PN00061', 100000, 'PM00885', 'Terlambat mengembalikan', 'RT00885'),
('PN00062', 300000, 'PM00662', 'Kerusakan ringan', 'RT00662'),
('PN00063', 100000, 'PM00190', 'Kecelakaan', 'RT00190'),
('PN00064', 200000, 'PM00386', 'Kecelakaan', 'RT00386'),
('PN00065', 100000, 'PM00436', 'Kecelakaan', 'RT00436'),
('PN00066', 200000, 'PM00666', 'Kerusakan ringan', 'RT00666'),
('PN00067', 50000, 'PM00458', 'Kecelakaan', 'RT00458'),
('PN00068', 100000, 'PM00049', 'Terlambat mengembalikan', 'RT00049'),
('PN00069', 300000, 'PM00200', 'Kecelakaan', 'RT00200'),
('PN00070', 100000, 'PM00155', 'Kecelakaan', 'RT00155'),
('PN00071', 300000, 'PM00528', 'Kecelakaan', 'RT00528'),
('PN00072', 50000, 'PM00215', 'Kerusakan ringan', 'RT00215'),
('PN00073', 50000, 'PM00223', 'Kerusakan ringan', 'RT00223'),
('PN00074', 50000, 'PM00873', 'Kecelakaan', 'RT00873'),
('PN00075', 300000, 'PM00716', 'Kecelakaan', 'RT00716'),
('PN00076', 200000, 'PM00760', 'Terlambat mengembalikan', 'RT00760'),
('PN00077', 300000, 'PM01000', 'Terlambat mengembalikan', 'RT01000'),
('PN00078', 150000, 'PM00823', 'Terlambat mengembalikan', 'RT00823'),
('PN00079', 50000, 'PM00196', 'Kerusakan ringan', 'RT00196'),
('PN00080', 150000, 'PM00960', 'Kecelakaan', 'RT00960'),
('PN00081', 300000, 'PM00661', 'Kerusakan ringan', 'RT00661'),
('PN00082', 50000, 'PM00045', 'Kecelakaan', 'RT00045'),
('PN00083', 150000, 'PM00858', 'Terlambat mengembalikan', 'RT00858'),
('PN00084', 300000, 'PM00723', 'Kerusakan ringan', 'RT00723'),
('PN00085', 100000, 'PM00361', 'Kerusakan ringan', 'RT00361'),
('PN00086', 200000, 'PM00617', 'Kerusakan ringan', 'RT00617'),
('PN00087', 50000, 'PM00313', 'Terlambat mengembalikan', 'RT00313'),
('PN00088', 100000, 'PM00185', 'Terlambat mengembalikan', 'RT00185'),
('PN00089', 50000, 'PM00895', 'Kecelakaan', 'RT00895'),
('PN00090', 100000, 'PM00461', 'Terlambat mengembalikan', 'RT00461'),
('PN00091', 50000, 'PM00346', 'Terlambat mengembalikan', 'RT00346'),
('PN00092', 200000, 'PM00783', 'Terlambat mengembalikan', 'RT00783'),
('PN00093', 200000, 'PM00611', 'Kecelakaan', 'RT00611'),
('PN00094', 150000, 'PM00840', 'Kecelakaan', 'RT00840'),
('PN00095', 150000, 'PM00323', 'Kecelakaan', 'RT00323'),
('PN00096', 300000, 'PM00363', 'Terlambat mengembalikan', 'RT00363'),
('PN00097', 150000, 'PM00718', 'Kerusakan ringan', 'RT00718'),
('PN00098', 50000, 'PM00604', 'Kerusakan ringan', 'RT00604'),
('PN00099', 200000, 'PM00678', 'Kerusakan ringan', 'RT00678'),
('PN00100', 100000, 'PM00496', 'Terlambat mengembalikan', 'RT00496'),
('PN00101', 300000, 'PM00413', 'Kerusakan ringan', 'RT00413'),
('PN00102', 150000, 'PM00237', 'Terlambat mengembalikan', 'RT00237'),
('PN00103', 100000, 'PM00442', 'Kerusakan ringan', 'RT00442'),
('PN00104', 150000, 'PM00911', 'Terlambat mengembalikan', 'RT00911'),
('PN00105', 300000, 'PM00804', 'Terlambat mengembalikan', 'RT00804'),
('PN00106', 100000, 'PM00195', 'Kecelakaan', 'RT00195'),
('PN00107', 50000, 'PM00201', 'Terlambat mengembalikan', 'RT00201'),
('PN00108', 100000, 'PM00416', 'Kerusakan ringan', 'RT00416'),
('PN00109', 50000, 'PM00210', 'Terlambat mengembalikan', 'RT00210'),
('PN00110', 200000, 'PM00512', 'Kerusakan ringan', 'RT00512'),
('PN00111', 300000, 'PM00850', 'Terlambat mengembalikan', 'RT00850'),
('PN00112', 100000, 'PM00438', 'Kerusakan ringan', 'RT00438'),
('PN00113', 300000, 'PM00109', 'Kerusakan ringan', 'RT00109'),
('PN00114', 100000, 'PM00637', 'Kerusakan ringan', 'RT00637'),
('PN00115', 150000, 'PM00638', 'Terlambat mengembalikan', 'RT00638'),
('PN00116', 150000, 'PM00988', 'Kecelakaan', 'RT00988'),
('PN00117', 100000, 'PM00043', 'Kerusakan ringan', 'RT00043'),
('PN00118', 300000, 'PM00216', 'Kerusakan ringan', 'RT00216'),
('PN00119', 50000, 'PM00937', 'Kecelakaan', 'RT00937'),
('PN00120', 150000, 'PM00606', 'Kerusakan ringan', 'RT00606'),
('PN00121', 100000, 'PM00593', 'Terlambat mengembalikan', 'RT00593'),
('PN00122', 50000, 'PM00619', 'Kerusakan ringan', 'RT00619'),
('PN00123', 100000, 'PM00219', 'Kecelakaan', 'RT00219'),
('PN00124', 300000, 'PM00703', 'Kecelakaan', 'RT00703'),
('PN00125', 100000, 'PM00229', 'Kecelakaan', 'RT00229'),
('PN00126', 300000, 'PM00550', 'Kerusakan ringan', 'RT00550'),
('PN00127', 300000, 'PM00917', 'Terlambat mengembalikan', 'RT00917'),
('PN00128', 100000, 'PM00646', 'Kerusakan ringan', 'RT00646'),
('PN00129', 200000, 'PM00990', 'Kecelakaan', 'RT00990'),
('PN00130', 100000, 'PM00341', 'Kerusakan ringan', 'RT00341'),
('PN00131', 50000, 'PM00170', 'Kerusakan ringan', 'RT00170'),
('PN00132', 150000, 'PM00164', 'Terlambat mengembalikan', 'RT00164'),
('PN00133', 150000, 'PM00590', 'Terlambat mengembalikan', 'RT00590'),
('PN00134', 300000, 'PM00762', 'Terlambat mengembalikan', 'RT00762'),
('PN00135', 200000, 'PM00479', 'Terlambat mengembalikan', 'RT00479'),
('PN00136', 300000, 'PM00613', 'Terlambat mengembalikan', 'RT00613'),
('PN00137', 300000, 'PM00110', 'Terlambat mengembalikan', 'RT00110'),
('PN00138', 300000, 'PM00997', 'Kerusakan ringan', 'RT00997'),
('PN00139', 100000, 'PM00359', 'Kerusakan ringan', 'RT00359'),
('PN00140', 100000, 'PM00205', 'Kerusakan ringan', 'RT00205'),
('PN00141', 150000, 'PM00689', 'Terlambat mengembalikan', 'RT00689'),
('PN00142', 150000, 'PM00754', 'Terlambat mengembalikan', 'RT00754'),
('PN00143', 300000, 'PM00038', 'Terlambat mengembalikan', 'RT00038'),
('PN00144', 50000, 'PM00866', 'Terlambat mengembalikan', 'RT00866'),
('PN00145', 300000, 'PM00799', 'Kecelakaan', 'RT00799'),
('PN00146', 50000, 'PM00326', 'Kerusakan ringan', 'RT00326'),
('PN00147', 50000, 'PM00362', 'Terlambat mengembalikan', 'RT00362'),
('PN00148', 300000, 'PM00848', 'Kecelakaan', 'RT00848'),
('PN00149', 50000, 'PM00066', 'Kerusakan ringan', 'RT00066'),
('PN00150', 150000, 'PM00731', 'Terlambat mengembalikan', 'RT00731'),
('PN00151', 50000, 'PM00097', 'Kecelakaan', 'RT00097'),
('PN00152', 200000, 'PM00217', 'Kecelakaan', 'RT00217'),
('PN00153', 200000, 'PM00896', 'Terlambat mengembalikan', 'RT00896'),
('PN00154', 100000, 'PM00081', 'Terlambat mengembalikan', 'RT00081'),
('PN00155', 200000, 'PM00189', 'Terlambat mengembalikan', 'RT00189'),
('PN00156', 200000, 'PM00456', 'Terlambat mengembalikan', 'RT00456'),
('PN00157', 300000, 'PM00091', 'Kerusakan ringan', 'RT00091'),
('PN00158', 150000, 'PM00789', 'Kerusakan ringan', 'RT00789'),
('PN00159', 300000, 'PM00073', 'Terlambat mengembalikan', 'RT00073'),
('PN00160', 150000, 'PM00753', 'Kecelakaan', 'RT00753'),
('PN00161', 300000, 'PM00827', 'Terlambat mengembalikan', 'RT00827'),
('PN00162', 150000, 'PM00293', 'Kerusakan ringan', 'RT00293'),
('PN00163', 100000, 'PM00906', 'Kecelakaan', 'RT00906'),
('PN00164', 50000, 'PM00847', 'Kerusakan ringan', 'RT00847'),
('PN00165', 100000, 'PM00304', 'Kerusakan ringan', 'RT00304'),
('PN00166', 300000, 'PM00805', 'Kerusakan ringan', 'RT00805'),
('PN00167', 100000, 'PM00006', 'Kerusakan ringan', 'RT00006'),
('PN00168', 150000, 'PM00934', 'Kerusakan ringan', 'RT00934'),
('PN00169', 200000, 'PM00667', 'Kecelakaan', 'RT00667'),
('PN00170', 50000, 'PM00962', 'Terlambat mengembalikan', 'RT00962'),
('PN00171', 150000, 'PM00060', 'Terlambat mengembalikan', 'RT00060'),
('PN00172', 50000, 'PM00449', 'Kecelakaan', 'RT00449'),
('PN00173', 200000, 'PM00663', 'Kecelakaan', 'RT00663'),
('PN00174', 100000, 'PM00849', 'Kerusakan ringan', 'RT00849'),
('PN00175', 300000, 'PM00471', 'Kecelakaan', 'RT00471'),
('PN00176', 50000, 'PM00588', 'Kerusakan ringan', 'RT00588'),
('PN00177', 100000, 'PM00702', 'Terlambat mengembalikan', 'RT00702'),
('PN00178', 50000, 'PM00401', 'Kecelakaan', 'RT00401'),
('PN00179', 300000, 'PM00776', 'Kecelakaan', 'RT00776'),
('PN00180', 200000, 'PM00028', 'Terlambat mengembalikan', 'RT00028'),
('PN00181', 150000, 'PM00701', 'Kerusakan ringan', 'RT00701'),
('PN00182', 100000, 'PM00958', 'Kecelakaan', 'RT00958'),
('PN00183', 150000, 'PM00902', 'Kecelakaan', 'RT00902'),
('PN00184', 300000, 'PM00837', 'Kerusakan ringan', 'RT00837'),
('PN00185', 200000, 'PM00868', 'Terlambat mengembalikan', 'RT00868'),
('PN00186', 50000, 'PM00485', 'Terlambat mengembalikan', 'RT00485'),
('PN00187', 200000, 'PM00751', 'Kecelakaan', 'RT00751'),
('PN00188', 150000, 'PM00697', 'Kecelakaan', 'RT00697'),
('PN00189', 150000, 'PM00212', 'Terlambat mengembalikan', 'RT00212'),
('PN00190', 200000, 'PM00614', 'Terlambat mengembalikan', 'RT00614'),
('PN00191', 300000, 'PM00964', 'Kecelakaan', 'RT00964'),
('PN00192', 100000, 'PM00317', 'Kecelakaan', 'RT00317'),
('PN00193', 100000, 'PM00283', 'Kecelakaan', 'RT00283'),
('PN00194', 150000, 'PM00249', 'Kecelakaan', 'RT00249'),
('PN00195', 300000, 'PM00688', 'Kecelakaan', 'RT00688'),
('PN00196', 100000, 'PM00585', 'Kerusakan ringan', 'RT00585'),
('PN00197', 50000, 'PM00880', 'Terlambat mengembalikan', 'RT00880'),
('PN00198', 200000, 'PM00735', 'Kerusakan ringan', 'RT00735'),
('PN00199', 100000, 'PM00891', 'Terlambat mengembalikan', 'RT00891'),
('PN00200', 300000, 'PM00140', 'Kecelakaan', 'RT00140'),
('PN00201', 300000, 'PM00932', 'Kecelakaan', 'RT00932'),
('PN00202', 150000, 'PM00598', 'Terlambat mengembalikan', 'RT00598'),
('PN00203', 200000, 'PM00707', 'Kerusakan ringan', 'RT00707'),
('PN00204', 100000, 'PM00244', 'Terlambat mengembalikan', 'RT00244'),
('PN00205', 150000, 'PM00352', 'Kerusakan ringan', 'RT00352'),
('PN00206', 50000, 'PM00288', 'Kecelakaan', 'RT00288'),
('PN00207', 300000, 'PM00599', 'Kecelakaan', 'RT00599'),
('PN00208', 200000, 'PM00529', 'Kecelakaan', 'RT00529'),
('PN00209', 200000, 'PM00961', 'Kecelakaan', 'RT00961'),
('PN00210', 50000, 'PM00441', 'Terlambat mengembalikan', 'RT00441'),
('PN00211', 150000, 'PM00552', 'Kecelakaan', 'RT00552'),
('PN00212', 200000, 'PM00372', 'Kerusakan ringan', 'RT00372'),
('PN00213', 150000, 'PM00069', 'Kerusakan ringan', 'RT00069'),
('PN00214', 100000, 'PM00254', 'Kerusakan ringan', 'RT00254'),
('PN00215', 300000, 'PM00584', 'Terlambat mengembalikan', 'RT00584'),
('PN00216', 100000, 'PM00227', 'Kecelakaan', 'RT00227'),
('PN00217', 300000, 'PM00177', 'Terlambat mengembalikan', 'RT00177'),
('PN00218', 150000, 'PM00887', 'Kecelakaan', 'RT00887'),
('PN00219', 150000, 'PM00897', 'Kecelakaan', 'RT00897'),
('PN00220', 50000, 'PM00448', 'Kerusakan ringan', 'RT00448'),
('PN00221', 200000, 'PM00631', 'Kerusakan ringan', 'RT00631'),
('PN00222', 300000, 'PM00052', 'Kecelakaan', 'RT00052'),
('PN00223', 50000, 'PM00031', 'Terlambat mengembalikan', 'RT00031'),
('PN00224', 50000, 'PM00355', 'Terlambat mengembalikan', 'RT00355'),
('PN00225', 50000, 'PM00162', 'Terlambat mengembalikan', 'RT00162'),
('PN00226', 200000, 'PM00221', 'Terlambat mengembalikan', 'RT00221'),
('PN00227', 100000, 'PM00996', 'Terlambat mengembalikan', 'RT00996'),
('PN00228', 100000, 'PM00889', 'Kerusakan ringan', 'RT00889'),
('PN00229', 150000, 'PM00064', 'Kecelakaan', 'RT00064'),
('PN00230', 200000, 'PM00437', 'Terlambat mengembalikan', 'RT00437'),
('PN00231', 200000, 'PM00874', 'Terlambat mengembalikan', 'RT00874'),
('PN00232', 150000, 'PM00425', 'Kecelakaan', 'RT00425'),
('PN00233', 150000, 'PM00027', 'Terlambat mengembalikan', 'RT00027'),
('PN00234', 150000, 'PM00187', 'Kerusakan ringan', 'RT00187'),
('PN00235', 150000, 'PM00729', 'Terlambat mengembalikan', 'RT00729'),
('PN00236', 100000, 'PM00115', 'Terlambat mengembalikan', 'RT00115'),
('PN00237', 150000, 'PM00420', 'Kerusakan ringan', 'RT00420'),
('PN00238', 200000, 'PM00029', 'Kerusakan ringan', 'RT00029'),
('PN00239', 100000, 'PM00954', 'Kerusakan ringan', 'RT00954'),
('PN00240', 50000, 'PM00761', 'Terlambat mengembalikan', 'RT00761'),
('PN00241', 300000, 'PM00240', 'Kecelakaan', 'RT00240'),
('PN00242', 100000, 'PM00080', 'Kecelakaan', 'RT00080'),
('PN00243', 150000, 'PM00391', 'Kerusakan ringan', 'RT00391'),
('PN00244', 100000, 'PM00900', 'Kerusakan ringan', 'RT00900'),
('PN00245', 300000, 'PM00051', 'Kecelakaan', 'RT00051'),
('PN00246', 150000, 'PM00812', 'Terlambat mengembalikan', 'RT00812'),
('PN00247', 50000, 'PM00597', 'Kecelakaan', 'RT00597'),
('PN00248', 200000, 'PM00340', 'Kecelakaan', 'RT00340'),
('PN00249', 50000, 'PM00860', 'Terlambat mengembalikan', 'RT00860'),
('PN00250', 300000, 'PM00092', 'Terlambat mengembalikan', 'RT00092'),
('PN00251', 100000, 'PM00245', 'Terlambat mengembalikan', 'RT00245'),
('PN00252', 300000, 'PM00342', 'Kerusakan ringan', 'RT00342'),
('PN00253', 300000, 'PM00378', 'Kerusakan ringan', 'RT00378'),
('PN00254', 50000, 'PM00243', 'Kecelakaan', 'RT00243'),
('PN00255', 50000, 'PM00477', 'Kecelakaan', 'RT00477'),
('PN00256', 300000, 'PM00831', 'Kerusakan ringan', 'RT00831'),
('PN00257', 200000, 'PM00515', 'Kecelakaan', 'RT00515'),
('PN00258', 100000, 'PM00303', 'Terlambat mengembalikan', 'RT00303'),
('PN00259', 50000, 'PM00670', 'Kecelakaan', 'RT00670'),
('PN00260', 50000, 'PM00526', 'Terlambat mengembalikan', 'RT00526'),
('PN00261', 100000, 'PM00159', 'Kecelakaan', 'RT00159'),
('PN00262', 300000, 'PM00978', 'Kecelakaan', 'RT00978'),
('PN00263', 150000, 'PM00810', 'Kecelakaan', 'RT00810'),
('PN00264', 100000, 'PM00842', 'Kerusakan ringan', 'RT00842'),
('PN00265', 100000, 'PM00056', 'Kerusakan ringan', 'RT00056'),
('PN00266', 200000, 'PM00287', 'Kerusakan ringan', 'RT00287'),
('PN00267', 200000, 'PM00167', 'Terlambat mengembalikan', 'RT00167'),
('PN00268', 300000, 'PM00818', 'Kecelakaan', 'RT00818'),
('PN00269', 200000, 'PM00007', 'Kecelakaan', 'RT00007'),
('PN00270', 150000, 'PM00861', 'Kerusakan ringan', 'RT00861'),
('PN00271', 300000, 'PM00724', 'Terlambat mengembalikan', 'RT00724'),
('PN00272', 50000, 'PM00169', 'Terlambat mengembalikan', 'RT00169'),
('PN00273', 200000, 'PM00963', 'Kerusakan ringan', 'RT00963'),
('PN00274', 300000, 'PM00615', 'Kerusakan ringan', 'RT00615'),
('PN00275', 100000, 'PM00186', 'Kecelakaan', 'RT00186'),
('PN00276', 200000, 'PM00405', 'Kerusakan ringan', 'RT00405'),
('PN00277', 100000, 'PM00451', 'Terlambat mengembalikan', 'RT00451'),
('PN00278', 150000, 'PM00044', 'Terlambat mengembalikan', 'RT00044'),
('PN00279', 100000, 'PM00377', 'Terlambat mengembalikan', 'RT00377'),
('PN00280', 200000, 'PM00076', 'Kerusakan ringan', 'RT00076'),
('PN00281', 100000, 'PM00274', 'Kerusakan ringan', 'RT00274'),
('PN00282', 150000, 'PM00841', 'Kerusakan ringan', 'RT00841'),
('PN00283', 100000, 'PM00535', 'Terlambat mengembalikan', 'RT00535'),
('PN00284', 150000, 'PM00330', 'Kecelakaan', 'RT00330'),
('PN00285', 100000, 'PM00877', 'Kecelakaan', 'RT00877'),
('PN00286', 50000, 'PM00230', 'Kerusakan ringan', 'RT00230'),
('PN00287', 50000, 'PM00265', 'Terlambat mengembalikan', 'RT00265'),
('PN00288', 50000, 'PM00745', 'Terlambat mengembalikan', 'RT00745'),
('PN00289', 150000, 'PM00913', 'Kerusakan ringan', 'RT00913'),
('PN00290', 50000, 'PM00158', 'Terlambat mengembalikan', 'RT00158'),
('PN00291', 200000, 'PM00867', 'Terlambat mengembalikan', 'RT00867'),
('PN00292', 150000, 'PM00824', 'Kecelakaan', 'RT00824'),
('PN00293', 50000, 'PM00950', 'Kecelakaan', 'RT00950'),
('PN00294', 100000, 'PM00149', 'Kecelakaan', 'RT00149'),
('PN00295', 100000, 'PM00748', 'Terlambat mengembalikan', 'RT00748'),
('PN00296', 50000, 'PM00452', 'Kecelakaan', 'RT00452'),
('PN00297', 50000, 'PM00165', 'Kecelakaan', 'RT00165'),
('PN00298', 200000, 'PM00279', 'Kecelakaan', 'RT00279'),
('PN00299', 200000, 'PM00999', 'Kecelakaan', 'RT00999'),
('PN00300', 300000, 'PM00320', 'Kerusakan ringan', 'RT00320'),
('PN00301', 300000, 'PM00586', 'Kecelakaan', 'RT00586'),
('PN00302', 300000, 'PM00145', 'Kecelakaan', 'RT00145'),
('PN00303', 100000, 'PM00015', 'Kecelakaan', 'RT00015'),
('PN00304', 200000, 'PM00554', 'Terlambat mengembalikan', 'RT00554'),
('PN00305', 100000, 'PM00609', 'Terlambat mengembalikan', 'RT00609'),
('PN00306', 200000, 'PM00853', 'Terlambat mengembalikan', 'RT00853'),
('PN00307', 300000, 'PM00144', 'Terlambat mengembalikan', 'RT00144'),
('PN00308', 100000, 'PM00945', 'Terlambat mengembalikan', 'RT00945'),
('PN00309', 100000, 'PM00705', 'Terlambat mengembalikan', 'RT00705'),
('PN00310', 150000, 'PM00995', 'Terlambat mengembalikan', 'RT00995'),
('PN00311', 150000, 'PM00679', 'Kerusakan ringan', 'RT00679'),
('PN00312', 200000, 'PM00589', 'Kerusakan ringan', 'RT00589'),
('PN00313', 300000, 'PM00366', 'Kerusakan ringan', 'RT00366'),
('PN00314', 100000, 'PM00085', 'Kerusakan ringan', 'RT00085'),
('PN00315', 100000, 'PM00828', 'Kecelakaan', 'RT00828'),
('PN00316', 50000, 'PM00465', 'Kerusakan ringan', 'RT00465'),
('PN00317', 200000, 'PM00096', 'Kecelakaan', 'RT00096'),
('PN00318', 150000, 'PM00374', 'Kecelakaan', 'RT00374'),
('PN00319', 300000, 'PM00639', 'Terlambat mengembalikan', 'RT00639'),
('PN00320', 300000, 'PM00832', 'Terlambat mengembalikan', 'RT00832'),
('PN00321', 50000, 'PM00491', 'Kerusakan ringan', 'RT00491'),
('PN00322', 200000, 'PM00356', 'Terlambat mengembalikan', 'RT00356'),
('PN00323', 100000, 'PM00643', 'Kecelakaan', 'RT00643'),
('PN00324', 50000, 'PM00938', 'Kerusakan ringan', 'RT00938'),
('PN00325', 100000, 'PM00674', 'Kecelakaan', 'RT00674'),
('PN00326', 200000, 'PM00943', 'Kerusakan ringan', 'RT00943'),
('PN00327', 200000, 'PM00348', 'Kecelakaan', 'RT00348'),
('PN00328', 300000, 'PM00616', 'Kecelakaan', 'RT00616'),
('PN00329', 200000, 'PM00302', 'Kerusakan ringan', 'RT00302'),
('PN00330', 150000, 'PM00431', 'Terlambat mengembalikan', 'RT00431'),
('PN00331', 200000, 'PM00132', 'Kerusakan ringan', 'RT00132'),
('PN00332', 200000, 'PM00054', 'Kerusakan ringan', 'RT00054'),
('PN00333', 200000, 'PM00531', 'Kecelakaan', 'RT00531'),
('PN00334', 300000, 'PM00518', 'Kerusakan ringan', 'RT00518'),
('PN00335', 50000, 'PM00088', 'Kecelakaan', 'RT00088'),
('PN00336', 300000, 'PM00068', 'Kerusakan ringan', 'RT00068'),
('PN00337', 200000, 'PM00568', 'Kecelakaan', 'RT00568'),
('PN00338', 200000, 'PM00627', 'Kecelakaan', 'RT00627'),
('PN00339', 100000, 'PM00026', 'Kerusakan ringan', 'RT00026'),
('PN00340', 200000, 'PM00545', 'Kerusakan ringan', 'RT00545'),
('PN00341', 50000, 'PM00671', 'Kerusakan ringan', 'RT00671'),
('PN00342', 200000, 'PM00699', 'Kerusakan ringan', 'RT00699'),
('PN00343', 300000, 'PM00577', 'Kerusakan ringan', 'RT00577'),
('PN00344', 200000, 'PM00888', 'Kecelakaan', 'RT00888'),
('PN00345', 50000, 'PM00737', 'Kerusakan ringan', 'RT00737'),
('PN00346', 150000, 'PM00521', 'Kerusakan ringan', 'RT00521'),
('PN00347', 50000, 'PM00686', 'Kerusakan ringan', 'RT00686'),
('PN00348', 300000, 'PM00114', 'Kecelakaan', 'RT00114'),
('PN00349', 200000, 'PM00695', 'Terlambat mengembalikan', 'RT00695'),
('PN00350', 50000, 'PM00059', 'Kecelakaan', 'RT00059'),
('PN00351', 50000, 'PM00971', 'Kecelakaan', 'RT00971'),
('PN00352', 50000, 'PM00316', 'Kerusakan ringan', 'RT00316'),
('PN00353', 300000, 'PM00181', 'Kerusakan ringan', 'RT00181'),
('PN00354', 100000, 'PM00390', 'Kerusakan ringan', 'RT00390'),
('PN00355', 150000, 'PM00410', 'Kerusakan ringan', 'RT00410'),
('PN00356', 200000, 'PM00040', 'Terlambat mengembalikan', 'RT00040'),
('PN00357', 100000, 'PM00907', 'Kecelakaan', 'RT00907'),
('PN00358', 200000, 'PM00766', 'Kecelakaan', 'RT00766'),
('PN00359', 50000, 'PM00259', 'Kecelakaan', 'RT00259'),
('PN00360', 150000, 'PM00949', 'Kecelakaan', 'RT00949'),
('PN00361', 100000, 'PM00742', 'Kecelakaan', 'RT00742'),
('PN00362', 200000, 'PM00797', 'Kerusakan ringan', 'RT00797'),
('PN00363', 100000, 'PM00108', 'Terlambat mengembalikan', 'RT00108'),
('PN00364', 300000, 'PM00658', 'Kerusakan ringan', 'RT00658'),
('PN00365', 150000, 'PM00642', 'Kecelakaan', 'RT00642'),
('PN00366', 100000, 'PM00756', 'Terlambat mengembalikan', 'RT00756'),
